,CONS_TDS,Acres,PM,PM_FORMULA,APM,APM_FORMULA,SUPER,SUPER_FORMULA,ASUPER,ASUPER_FORMULA,SOG,SOG_FORMULA,HA,HA_FORMULA,SOC,SOC_FORMULA,CTG,CTJ,CJG_TOTAL,CJG_FORMULA,CTX,CTX_FORMULA,MW,MW_FORMULA,SEC,SEC_FORMULA,TOT,TOT_FORMULA
0,002,21.28,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,23,25,24,5.0,5.0,7.0,7.0,2.0,2.0,51.0,50.0
1,003,10.4,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,16,18,18,5.0,5.0,5.0,5.0,2.0,2.0,40.0,39.0
2,004,19.65,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,19,20,21,5.0,5.0,6.0,6.0,2.0,2.0,44.0,45.0
3,005,18.84,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,23,25,23,5.0,5.0,7.0,7.0,2.0,2.0,51.0,49.0
4,006,14.15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,23,24,26,7.0,5.0,7.0,8.0,2.0,2.0,51.0,52.0
5,008,22.3779217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,13,15,16,5.0,5.0,5.0,5.0,2.0,2.0,36.0,37.0
6,009,10.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,15,16,17,5.0,5.0,5.0,5.0,2.0,2.0,37.0,38.0
7,010,16.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,19,20,20,5.0,5.0,5.0,6.0,2.0,2.0,41.0,43.0
8,014,18.65567,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,2.0,25,27,26,5.0,5.0,7.0,8.0,2.0,2.0,55.0,55.0
9,016,16.82,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,19,20,20,5.0,5.0,6.0,6.0,2.0,2.0,43.0,43.0
10,017,10.48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,16,18,19,5.0,5.0,5.0,6.0,2.0,2.0,39.0,41.0
11,018,17.67,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,24,25,26,5.0,5.0,8.0,8.0,2.0,2.0,52.0,53.0
12,020,11.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,17,18,19,5.0,5.0,6.0,6.0,2.0,2.0,40.0,41.0
13,021,25.29,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,23,25,25,5.0,5.0,7.0,8.0,2.0,2.0,51.0,52.0
14,022,13.09,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,23,24,24,5.0,5.0,7.0,7.0,2.0,2.0,50.0,49.0
15,023,15.93,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,1.0,26,27,27,5.0,5.0,7.0,8.0,2.0,2.0,55.0,56.0
16,024,16.12,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,25,26,26,5.0,5.0,8.0,8.0,2.0,2.0,54.0,54.0
17,025,11.53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,15,16,17,5.0,5.0,5.0,5.0,2.0,2.0,37.0,38.0
18,026,26.43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,14,17,16,5.0,5.0,5.0,5.0,2.0,2.0,38.0,37.0
19,027,18.51,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,2.0,27,29,28,5.0,5.0,9.0,9.0,2.0,2.0,59.0,58.0
20,028,12.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,16,17,18,5.0,5.0,5.0,5.0,2.0,2.0,38.0,39.0
21,029,16.61,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,19,20,20,5.0,5.0,6.0,6.0,2.0,2.0,43.0,43.0
22,030,12.75,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,20,21,20,5.0,5.0,7.0,6.0,2.0,2.0,46.0,43.0
23,031,13.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,17,18,18,5.0,5.0,5.0,5.0,2.0,2.0,39.0,39.0
24,032,15.06,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,21,23,23,5.0,5.0,6.0,7.0,2.0,2.0,48.0,48.0
25,033,22.3,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,19,21,20,5.0,5.0,6.0,6.0,2.0,2.0,44.0,43.0
26,034,15.07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,13,14,16,5.0,5.0,5.0,5.0,2.0,2.0,35.0,37.0
27,035,17.44,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,8,9,11,5.0,5.0,3.0,3.0,2.0,2.0,27.0,28.0
28,036,45.69,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,6.0,2.0,2.0,3.0,29,32,32,5.0,5.0,9.0,10.0,3.0,3.0,64.0,65.0
29,037,10.92,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,12,13,15,5.0,5.0,4.0,4.0,2.0,2.0,32.0,33.0
30,038,14.36,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,20,21,22,5.0,5.0,7.0,7.0,2.0,2.0,46.0,47.0
31,039,24.15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,21,23,22,5.0,5.0,6.0,7.0,2.0,2.0,48.0,47.0
32,040,7.21,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,9,10,11,5.0,5.0,3.0,3.0,2.0,2.0,27.0,28.0
33,041,13.09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,14,16,17,5.0,5.0,6.0,5.0,2.0,2.0,38.0,38.0
34,042,12.21,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7,8,8,5.0,5.0,2.0,2.0,2.0,2.0,24.0,24.0
35,044,21.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,15,17,17,5.0,5.0,5.0,5.0,2.0,2.0,38.0,38.0
36,045,8.16,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,12,13,14,5.0,5.0,4.0,4.0,2.0,2.0,31.0,32.0
37,046,27.73,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,21,23,22,5.0,5.0,7.0,7.0,2.0,2.0,48.0,47.0
38,047,10.4,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,10,11,13,5.0,5.0,4.0,4.0,2.0,2.0,29.0,31.0
39,048,35.29,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,3.0,31,34,31,5.0,5.0,9.0,10.0,3.0,3.0,65.0,63.0
40,049,14.98,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,24,25,24,5.0,5.0,7.0,7.0,2.0,2.0,51.0,50.0
41,052,11.74,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7,8,8,5.0,5.0,2.0,2.0,2.0,2.0,24.0,24.0
42,053,47.83,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,3.0,29,32,30,5.0,5.0,9.0,9.0,3.0,3.0,63.0,61.0
43,055,16.67,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7,8,9,5.0,5.0,3.0,3.0,2.0,2.0,25.0,26.0
44,056,49.17,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,3.0,22,25,23,5.0,5.0,7.0,7.0,2.0,2.0,51.0,49.0
45,057,46.44,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,3.0,29,32,29,5.0,5.0,9.0,9.0,3.0,3.0,63.0,60.0
46,058,13.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,15,16,18,6.0,5.0,5.0,5.0,2.0,2.0,38.0,39.0
47,059,22.09,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,2.0,28,30,29,6.0,5.0,8.0,9.0,2.0,3.0,60.0,60.0
48,060,26.37,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,6.0,2.0,2.0,2.0,34,36,34,5.0,5.0,10.0,11.0,3.0,3.0,69.0,68.0
49,061,19.39,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,23,24,23,5.0,5.0,7.0,7.0,3.0,2.0,51.0,48.0
50,062,22.36,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,2.0,28,30,28,5.0,5.0,8.0,9.0,2.0,2.0,59.0,58.0
51,063,46.95,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,3.0,24,27,25,5.0,5.0,8.0,8.0,2.0,2.0,54.0,52.0
52,064,18.11,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,24,25,24,5.0,5.0,8.0,7.0,2.0,2.0,52.0,50.0
53,065,15.78,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,11,12,13,5.0,5.0,4.0,4.0,2.0,2.0,30.0,31.0
54,067,32.77,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,3.0,22,25,25,5.0,5.0,8.0,8.0,2.0,2.0,52.0,52.0
55,069,11.39,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,8,9,11,5.0,5.0,3.0,3.0,2.0,2.0,26.0,28.0
56,070,30.96,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,19,21,22,5.0,5.0,7.0,7.0,2.0,2.0,46.0,47.0
57,071,24.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,18,20,18,5.0,5.0,5.0,6.0,2.0,2.0,41.0,40.0
58,072,14.26,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,10,11,12,5.0,5.0,4.0,4.0,2.0,2.0,29.0,30.0
59,073,23.92,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,20,22,21,5.0,5.0,6.0,6.0,2.0,2.0,46.0,45.0
60,074,24.88,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,2.0,31,33,31,5.0,5.0,9.0,9.0,3.0,3.0,64.0,62.0
61,075,16.48,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,10,12,13,5.0,5.0,4.0,4.0,2.0,2.0,30.0,31.0
62,076,10.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,20,21,22,5.0,5.0,6.0,7.0,2.0,2.0,44.0,47.0
63,077,18.74,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,9,11,9,3.0,5.0,3.0,3.0,2.0,2.0,26.0,26.0
64,078,11.41,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,8,9,11,5.0,5.0,3.0,3.0,2.0,2.0,26.0,28.0
65,079,19.32,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,19,20,21,5.0,5.0,6.0,6.0,2.0,2.0,44.0,45.0
66,080,40.35,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,3.0,29,32,29,5.0,5.0,9.0,9.0,3.0,3.0,63.0,60.0
