,CONS_NAME,CONS_TDS
0,1010 EAST 178TH STREET,180
14,ADAMS,118
22,ALBANY CONSOLIDATED,31
31,AMSTERDAM CONSOLIDATED,22
45,ARMSTRONG CONSOLIDATED,210
115,ASTORIA,26
141,BAISLEY PARK CONSOLIDATED,91
148,BARUCH CONSOLIDATED,60
168,BAY VIEW,92
193,BEACH 41ST STREET CONSOLIDATION,165
207,BERRY,52
229,BORINQUEN PLAZA CONSOLIDATED,243
249,BOSTON SECOR CONSOLIDATED,138
204,BOULEVARD CONSOLIDATED,46
277,BREUKELEN,56
311,BREVOORT,65
273,BRONX RIVER CONSOLIDATED,32
340,BROWNSVILLE,16
367,BUILDING MANAGEMENT ASSOCIATES CONSOLIDATED,530
368,BUSHWICK CONSOLIDATED,86
376,BUTLER,113
385,CAREY GARDENS CONSOLIDATED,166
392,CARVER,58
411,CASTLE HILL,80
425,CHELSEA CONSOLIDATED,134
2,CLAREMONT CONSOLIDATED,308
518,CLINTON,123
537,COOPER PARK,69
558,CYPRESS HILLS CONSOLIDATED,70
13,DOUGLASS CONSOLIDATED,82
594,DREW-HAMILTON CONSOLIDATED,111
604,DYCKMAN,41
664,EAST RIVER CONSOLIDATED,9
675,EASTCHESTER GARDENS CONSOLIDATED,34
686,EDENWALD,57
734,FARRAGUT,29
612,FOREST CONSOLIDATION,59
140,FORT INDEPENDENCE CONSOLIDATED,197
948,FORT WASHINGTON CONSOLIDATED,309
1965,FREDERICK SAMUEL (CITY),377
949,FULTON,136
338,GARVEY CONSOLIDATED,252
971,GLENWOOD,44
9,GOMPERS CONSOLIDATED,100
996,GOWANUS,25
1013,GRANT,87
1038,GUN HILL,40
391,HAMMEL CONSOLIDATED,75
139,HARLEM RIVER CONSOLIDATED,3
1079,HIGHBRIDGE GARDENS,78
1088,HOWARD,72
1138,INGERSOLL,14
1086,ISAACS CONSOLIDATED,139
1515,JACKIE ROBINSON CONSOLIDATED,241
7,JEFFERSON CONSOLIDATED,64
1196,JOHNSON,17
1012,KING TOWERS CONSOLIDATED,30
1216,KINGSBOROUGH CONSOLIDATED,10
5,KRAUS MANAGEMENT CONSOLIDATED,359
1073,KRAUS MANAGEMENT CONSOLIDATED,341
1234,LA GUARDIA CONSOLIDATED,76
1245,LAFAYETTE,122
1114,LANGSTON HUGHES CONSOLIDATED,168
224,LATIMER GARDENS CONSOLIDATED,186
1257,LEHMAN VILLAGE,101
1269,LINCOLN,20
1283,LINDEN,95
276,LOWER EAST SIDE CONSOLIDATED,337
1330,MANHATTANVILLE CONSOLIDATED,81
1341,MARBLE HILL,49
1354,MARCY,21
1385,MARINER'S HARBOR,77
1408,MARLBORO,83
613,MELROSE CONSOLIDATED,28
1459,MILL BROOK CONSOLIDATED,84
1469,MITCHEL CONSOLIDATED,145
1482,MONROE,88
1497,MORRIS CONSOLIDATED,102
1169,MORRISANIA AIR RIGHTS CONSOLIDATED,267
1521,MOTT HAVEN,121
533,O'DWYER GARDENS CONSOLIDATED,172
1575,OCEAN HILL CONSOLIDATED,162
550,PARK ROCK CONSOLIDATED,351
1591,PARKSIDE,47
1605,PATTERSON,24
247,PELHAM PARKWAY CONSOLIDATED,39
1643,PENNSYLVANIA AVENUE-WORTMAN AVENUE CONSOLIDATED,194
1647,PINK,89
1673,POLO GROUNDS TOWERS,149
1681,POMONOK,53
1717,QUEENSBRIDGE NORTH,505
1751,QUEENSBRIDGE SOUTH,5
1796,RANGEL,37
1804,RAVENSWOOD,48
1835,RED HOOK EAST,4
1854,RED HOOK WEST,79
1869,REDFERN,55
1,REID APARTMENTS CONSOLIDATED,167
405,RICHMOND TERRACE CONSOLIDATED,117
1901,RIIS CONSOLIDATED,18
1923,ROOSEVELT CONSOLIDATED,135
1932,RUTGERS,99
472,SACK WERN CONSOLIDATED,280
1495,SAINT MARY'S PARK CONSOLIDATED,93
1952,SAINT NICHOLAS,38
2015,SEDGWICK CONSOLIDATED,45
966,SETH LOW CONSOLIDATED,169
1533,SHEEPSHEAD BAY CONSOLIDATED,36
2047,SMITH,27
4,SOTOMAYOR HOUSES CONSOLIDATED,67
2090,SOUNDVIEW,71
1532,SOUTH BEACH CONSOLIDATED,35
2117,SOUTH JAMAICA CONSOLIDATED,8
2146,STAPLETON,114
8,STRAUS CONSOLIDATED,153
2170,STUYVESANT GARDENS CONSOLIDATED,221
6,SUMNER CONSOLIDATED,73
527,SURFSIDE GARDENS CONSOLIDATED,170
3,TAFT CONSOLIDATED,97
1132,TAYLOR-WYTHE CONSOLIDATED,234
1792,THROGGS NECK CONSOLIDATED,63
2265,TILDEN,96
2274,TODT HILL,42
216,TOMPKINS CONSOLIDATED,131
428,UNION AVENUE CONSOLIDATED,342
916,UNITY PLAZA CONSOLIDATED,261
2316,VAN DYKE I,61
2343,VLADECK CONSOLIDATED,6
2367,WAGNER CONSOLIDATED,74
2399,WALD,23
1265,WASHINGTON CONSOLIDATED,62
1516,WEBSTER CONSOLIDATED,141
2460,WEST BRIGHTON CONSOLIDATED,116
2484,WHITMAN,514
2503,WILLIAMS PLAZA,128
2508,WILLIAMSBURG,2
1455,WILSON CONSOLIDATED,112
574,WISE TOWERS CONSOLIDATED,127
2536,WOODSIDE,33
2339,WOODSON CONSOLIDATED,182
11,WYCKOFF GARDENS CONSOLIDATED,163