,DEV_NAME,MANAGED_BY,TDS,CONS_TDS,CONS_NAME
0,1010 EAST 178TH STREET,1010 EAST 178TH STREET,180,180,1010 EAST 178TH STREET
1,104-14 TAPSCOTT STREET,REID APARTMENTS,242,167,REID APARTMENTS CONSOLIDATED
2,1162-1176 WASHINGTON AVENUE,CLAREMONT CONSOLIDATED,233,308,CLAREMONT CONSOLIDATED
3,131 SAINT NICHOLAS AVENUE,TAFT,154,097,TAFT CONSOLIDATED
4,1471 WATSON AVENUE,SOTOMAYOR HOUSES,214,067,SOTOMAYOR HOUSES CONSOLIDATED
5,154 WEST 84TH STREET,KRAUS MANAGEMENT (PRIVATE - M/B 1),359,359,KRAUS MANAGEMENT CONSOLIDATED
6,303 VERNON AVENUE,SUMNER,156,073,SUMNER CONSOLIDATED
7,335 EAST 111TH STREET,JEFFERSON,203,064,JEFFERSON CONSOLIDATED
8,344 EAST 28TH STREET,STRAUS,185,153,STRAUS CONSOLIDATED
9,45 ALLEN STREET,GOMPERS,265,100,GOMPERS CONSOLIDATED
11,572 WARREN STREET,WYCKOFF GARDENS,196,163,WYCKOFF GARDENS CONSOLIDATED
13,830 AMSTERDAM AVENUE,DOUGLASS,150,082,DOUGLASS CONSOLIDATED
14,ADAMS,ADAMS,118,118,ADAMS
22,ALBANY,ALBANY,031,031,ALBANY CONSOLIDATED
28,ALBANY II,ALBANY,085,031,ALBANY CONSOLIDATED
31,AMSTERDAM,AMSTERDAM,022,022,AMSTERDAM CONSOLIDATED
44,AMSTERDAM ADDITION,AMSTERDAM,187,022,AMSTERDAM CONSOLIDATED
45,ARMSTRONG I,ARMSTRONG I,210,210,ARMSTRONG CONSOLIDATED
99,ARMSTRONG II,ARMSTRONG I,228,210,ARMSTRONG CONSOLIDATED
115,ASTORIA,ASTORIA,026,026,ASTORIA
138,ATLANTIC TERMINAL SITE 4B,WYCKOFF GARDENS,256,163,WYCKOFF GARDENS CONSOLIDATED
139,AUDUBON,HARLEM RIVER,125,003,HARLEM RIVER CONSOLIDATED
140,BAILEY AVENUE-WEST 193RD STREET,FORT INDEPENDENCE,202,197,FORT INDEPENDENCE CONSOLIDATED
141,BAISLEY PARK,BAISLEY PARK,091,091,BAISLEY PARK CONSOLIDATED
148,BARUCH,BARUCH,060,060,BARUCH CONSOLIDATED
167,BARUCH HOUSES ADDITION,BARUCH,198,060,BARUCH CONSOLIDATED
168,BAY VIEW,BAY VIEW,092,092,BAY VIEW
193,BEACH 41ST STREET-BEACH CHANNEL DRIVE,BEACH 41ST STREET-BEACH CHANNEL DRIVE,165,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE
199,BEDFORD-STUYVESANT REHAB,SUMNER,311,073,SUMNER CONSOLIDATED
204,BELMONT-SUTTER AREA,BOULEVARD,345,046,BOULEVARD CONSOLIDATED
207,BERRY,BERRY,052,052,BERRY
216,BERRY STREET-SOUTH 9TH STREET,TOMPKINS,357,131,TOMPKINS CONSOLIDATED
223,BETHUNE GARDENS,HARLEM RIVER,160,003,HARLEM RIVER CONSOLIDATED
224,BLAND,LATIMER GARDENS,054,186,LATIMER GARDENS CONSOLIDATED
229,BORINQUEN PLAZA I,BORINQUEN PLAZA I,243,243,BORINQUEN PLAZA CONSOLIDATED
240,BORINQUEN PLAZA II,BORINQUEN PLAZA I,271,243,BORINQUEN PLAZA CONSOLIDATED
247,BOSTON ROAD PLAZA,PELHAM PARKWAY,189,039,PELHAM PARKWAY CONSOLIDATED
249,BOSTON SECOR,BOSTON SECOR,138,138,BOSTON SECOR CONSOLIDATED
255,BOULEVARD,BOULEVARD,046,046,BOULEVARD CONSOLIDATED
273,BOYNTON AVENUE REHAB,BRONX RIVER,346,032,BRONX RIVER CONSOLIDATED
276,BRACETTI PLAZA,LOWER EAST SIDE CONSOLIDATED,264,337,LOWER EAST SIDE CONSOLIDATED
277,BREUKELEN,BREUKELEN,056,056,BREUKELEN
311,BREVOORT,BREVOORT,065,065,BREVOORT
325,BRONX RIVER,BRONX RIVER,032,032,BRONX RIVER CONSOLIDATED
336,BRONX RIVER ADDITION,BRONX RIVER,157,032,BRONX RIVER CONSOLIDATED
338,BROWN,GARVEY,325,252,GARVEY CONSOLIDATED
340,BROWNSVILLE,BROWNSVILLE,016,016,BROWNSVILLE
367,BRYANT AVENUE-EAST 174TH STREET,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),235,530,BUILDING MANAGEMENT ASSOCIATES CONSOLIDATED
368,BUSHWICK,BUSHWICK,086,086,BUSHWICK CONSOLIDATED
376,BUTLER,BUTLER,113,113,BUTLER
383,CAMPOS PLAZA II,LOWER EAST SIDE CONSOLIDATED,286,337,LOWER EAST SIDE CONSOLIDATED
385,CAREY GARDENS,CAREY GARDENS,166,166,CAREY GARDENS CONSOLIDATED
391,CARLETON MANOR,HAMMEL,164,075,HAMMEL CONSOLIDATED
392,CARVER,CARVER,058,058,CARVER
405,CASSIDY-LAFAYETTE,RICHMOND TERRACE,206,117,RICHMOND TERRACE CONSOLIDATED
411,CASTLE HILL,CASTLE HILL,080,080,CASTLE HILL
425,CHELSEA,CHELSEA,134,134,CHELSEA CONSOLIDATED
427,CHELSEA ADDITION,CHELSEA,176,134,CHELSEA CONSOLIDATED
428,CLAREMONT PARKWAY-FRANKLIN AVENUE,UNION AVENUE CONSOLIDATED,334,342,UNION AVENUE CONSOLIDATED
441,CLAREMONT REHAB (GROUP 2),CLAREMONT CONSOLIDATED,307,308,CLAREMONT CONSOLIDATED
450,CLAREMONT REHAB (GROUP 3),CLAREMONT CONSOLIDATED,308,308,CLAREMONT CONSOLIDATED
458,CLAREMONT REHAB (GROUP 4),CLAREMONT CONSOLIDATED,335,308,CLAREMONT CONSOLIDATED
467,CLAREMONT REHAB (GROUP 5),CLAREMONT CONSOLIDATED,336,308,CLAREMONT CONSOLIDATED
472,CLASON POINT GARDENS,SACK WERN,011,280,SACK WERN CONSOLIDATED
518,CLINTON,CLINTON,123,123,CLINTON
526,COLLEGE AVENUE-EAST 165TH STREET,CLAREMONT CONSOLIDATED,236,308,CLAREMONT CONSOLIDATED
527,CONEY ISLAND,SURFSIDE GARDENS,094,170,SURFSIDE GARDENS CONSOLIDATED
532,CONEY ISLAND I (SITE 1B),CAREY GARDENS,239,166,CAREY GARDENS CONSOLIDATED
533,CONEY ISLAND I (SITE 8),O'DWYER GARDENS,238,172,O'DWYER GARDENS CONSOLIDATED
534,CONEY ISLAND I (SITES 4 & 5),SURFSIDE GARDENS,216,170,SURFSIDE GARDENS CONSOLIDATED
536,CONLON LIHFE TOWER,BAISLEY PARK,232,091,BAISLEY PARK CONSOLIDATED
537,COOPER PARK,COOPER PARK,069,069,COOPER PARK
548,CORSI HOUSES,JEFFERSON,199,064,JEFFERSON CONSOLIDATED
550,CROWN HEIGHTS,PARK ROCK CONSOLIDATED,312,351,PARK ROCK CONSOLIDATED
558,CYPRESS HILLS,CYPRESS HILLS,070,070,CYPRESS HILLS CONSOLIDATED
573,DAVIDSON,UNION AVENUE CONSOLIDATED,190,342,UNION AVENUE CONSOLIDATED
574,DE HOSTOS APARTMENTS,WISE TOWERS,155,127,WISE TOWERS CONSOLIDATED
575,DOUGLASS ADDITION,DOUGLASS,148,082,DOUGLASS CONSOLIDATED
576,DOUGLASS I,DOUGLASS,082,082,DOUGLASS CONSOLIDATED
588,DOUGLASS II,DOUGLASS,582,082,DOUGLASS CONSOLIDATED
594,DREW-HAMILTON,DREW-HAMILTON,111,111,DREW-HAMILTON CONSOLIDATED
604,DYCKMAN,DYCKMAN,041,041,DYCKMAN
612,EAGLE AVENUE-EAST 163RD STREET,FOREST,224,059,FOREST
613,EAST 152ND STREET-COURTLANDT AVENUE,MELROSE,237,028,MELROSE CONSOLIDATED
615,EAST 165TH STREET-BRYANT AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),304,530,BUILDING MANAGEMENT ASSOCIATES CONSOLIDATED
620,EAST 173RD STREET-VYSE AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),338,530,BUILDING MANAGEMENT ASSOCIATES CONSOLIDATED
629,EAST 180TH STREET-MONTEREY AVENUE,1010 EAST 178TH STREET,208,180,1010 EAST 178TH STREET
631,EAST NEW YORK CITY LINE,CYPRESS HILLS,263,070,CYPRESS HILLS CONSOLIDATED
664,EAST RIVER,EAST RIVER,009,009,EAST RIVER CONSOLIDATED
675,EASTCHESTER GARDENS,EASTCHESTER GARDENS,034,034,EASTCHESTER GARDENS CONSOLIDATED
686,EDENWALD,EDENWALD,057,057,EDENWALD
728,ELLIOTT,CHELSEA,015,134,CHELSEA CONSOLIDATED
734,FARRAGUT,FARRAGUT,029,029,FARRAGUT
744,FENIMORE-LEFFERTS,REID APARTMENTS,205,167,REID APARTMENTS CONSOLIDATED
762,FHA REPOSSESSED HOUSES (GROUP I),BAISLEY PARK,209,091,BAISLEY PARK CONSOLIDATED
788,FHA REPOSSESSED HOUSES (GROUP II),BAISLEY PARK,212,091,BAISLEY PARK CONSOLIDATED
800,FHA REPOSSESSED HOUSES (GROUP III),BAISLEY PARK,213,091,BAISLEY PARK CONSOLIDATED
812,FHA REPOSSESSED HOUSES (GROUP IV),BAISLEY PARK,226,091,BAISLEY PARK CONSOLIDATED
825,FHA REPOSSESSED HOUSES (GROUP IX),BAISLEY PARK,283,091,BAISLEY PARK CONSOLIDATED
841,FHA REPOSSESSED HOUSES (GROUP V),BAISLEY PARK,260,091,BAISLEY PARK CONSOLIDATED
872,FHA REPOSSESSED HOUSES (GROUP VI),BAISLEY PARK,273,091,BAISLEY PARK CONSOLIDATED
879,FHA REPOSSESSED HOUSES (GROUP VII),BAISLEY PARK,274,091,BAISLEY PARK CONSOLIDATED
887,FHA REPOSSESSED HOUSES (GROUP VIII),BAISLEY PARK,275,091,BAISLEY PARK CONSOLIDATED
896,FHA REPOSSESSED HOUSES (GROUP X),BAISLEY PARK,284,091,BAISLEY PARK CONSOLIDATED
916,FIORENTINO PLAZA,UNITY PLAZA,207,261,UNITY PLAZA CONSOLIDATED
924,FIRST HOUSES,LOWER EAST SIDE CONSOLIDATED,001,337,LOWER EAST SIDE CONSOLIDATED
932,FOREST,FOREST,059,059,FOREST
947,FORT INDEPENDENCE STREET-HEATH AVENUE,FORT INDEPENDENCE,197,197,FORT INDEPENDENCE CONSOLIDATED
948,FORT WASHINGTON AVENUE REHAB,FORT WASHINGTON,309,309,FORT WASHINGTON CONSOLIDATED
949,FULTON,FULTON,136,136,FULTON
961,GARVEY (GROUP A),GARVEY,252,252,GARVEY CONSOLIDATED
965,GLEBE AVENUE-WESTCHESTER AVENUE,SOTOMAYOR HOUSES,225,067,SOTOMAYOR HOUSES CONSOLIDATED
966,GLENMORE PLAZA,LOW HOUSES,171,169,SETH LOW CONSOLIDATED
971,GLENWOOD,GLENWOOD,044,044,GLENWOOD
992,GOMPERS,GOMPERS,100,100,GOMPERS CONSOLIDATED
996,GOWANUS,GOWANUS,025,025,GOWANUS
1012,GRAMPION,KING TOWERS,281,030,KING TOWERS CONSOLIDATED
1013,GRANT,GRANT,087,087,GRANT
1023,GRAVESEND,O'DWYER GARDENS,068,172,O'DWYER GARDENS CONSOLIDATED
1038,GUN HILL,GUN HILL,040,040,GUN HILL
1044,HABER,CAREY GARDENS,142,166,CAREY GARDENS CONSOLIDATED
1047,HAMMEL,HAMMEL,075,075,HAMMEL CONSOLIDATED
1062,HARBORVIEW TERRACE,AMSTERDAM,262,022,AMSTERDAM CONSOLIDATED
1064,HARLEM RIVER,HARLEM RIVER,003,003,HARLEM RIVER CONSOLIDATED
1071,HARLEM RIVER II,HARLEM RIVER,147,003,HARLEM RIVER CONSOLIDATED
1073,HARRISON AVENUE REHAB (GROUP A),KRAUS MANAGEMENT (PRIVATE - BX 3),347,341,KRAUS MANAGEMENT CONSOLIDATED
1074,HARRISON AVENUE REHAB (GROUP B),KRAUS MANAGEMENT (PRIVATE - BX 3),547,341,KRAUS MANAGEMENT CONSOLIDATED
1078,HERNANDEZ,GOMPERS,184,100,GOMPERS CONSOLIDATED
1079,HIGHBRIDGE GARDENS,HIGHBRIDGE GARDENS,078,078,HIGHBRIDGE GARDENS
1085,HOE AVENUE-EAST 173RD STREET,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),215,530,BUILDING MANAGEMENT ASSOCIATES CONSOLIDATED
1086,HOLMES TOWERS,ISAACS,159,139,ISAACS CONSOLIDATED
1088,HOWARD,HOWARD,072,072,HOWARD
1099,HOWARD AVENUE,PARK ROCK CONSOLIDATED,339,351,PARK ROCK CONSOLIDATED
1106,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,365,351,PARK ROCK CONSOLIDATED
1114,HUGHES APARTMENTS,HUGHES APARTMENTS,168,168,LANGSTON HUGHES CONSOLIDATED
1118,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),367,530,BUILDING MANAGEMENT ASSOCIATES CONSOLIDATED
1131,HYLAN,BUSHWICK,109,086,BUSHWICK CONSOLIDATED
1132,INDEPENDENCE,TAYLOR STREET-WYTHE AVENUE,140,234,TAYLOR -WYTHE  CONSOLIDATED
1138,INGERSOLL,INGERSOLL,014,014,INGERSOLL
1164,INTERNATIONAL TOWER,BAISLEY PARK,316,091,BAISLEY PARK CONSOLIDATED
1165,ISAACS,ISAACS,139,139,ISAACS CONSOLIDATED
1169,JACKSON,MORRISANIA AIR RIGHTS,120,267,MORRISANIA AIR RIGHTS CONSOLIDATED
1177,JEFFERSON,JEFFERSON,064,064,JEFFERSON CONSOLIDATED
1196,JOHNSON,JOHNSON,017,017,JOHNSON
1206,KING TOWERS,KING TOWERS,030,030,KING TOWERS CONSOLIDATED
1216,KINGSBOROUGH,KINGSBOROUGH,010,010,KINGSBOROUGH CONSOLIDATED
1232,KINGSBOROUGH EXTENSION,KINGSBOROUGH,161,010,KINGSBOROUGH CONSOLIDATED
1234,LA GUARDIA,LA GUARDIA,076,076,LA GUARDIA CONSOLIDATED
1244,LA GUARDIA ADDITION,LA GUARDIA,152,076,LA GUARDIA CONSOLIDATED
1245,LAFAYETTE,LAFAYETTE,122,122,LAFAYETTE
1252,LATIMER GARDENS,LATIMER GARDENS,186,186,LATIMER GARDENS CONSOLIDATED
1256,LEAVITT STREET-34TH AVENUE,LATIMER GARDENS,201,186,LATIMER GARDENS CONSOLIDATED
1257,LEHMAN VILLAGE,LEHMAN VILLAGE,101,101,LEHMAN VILLAGE
1262,LENOX ROAD-ROCKAWAY PARKWAY,REID APARTMENTS,348,167,REID APARTMENTS CONSOLIDATED
1265,LEXINGTON,WASHINGTON,050,062,WASHINGTON CONSOLIDATED
1269,LINCOLN,LINCOLN,020,020,LINCOLN
1283,LINDEN,LINDEN,095,095,LINDEN
