DEV_TDS,DISTRICT,SECTION,FREQUENCY,SCHEDULECO,FREQ_REFUS,FREQ_RECYC,FREQ_BULK
351,BKN08,BKN083,A,3083A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
47,BX11,BX113,C,2113C,"Mon, Thu",Thu,"Mon, Thu"
24,BX01,BX011,A,2011A,"Mon, Wed, Fri",Mon,"Mon, Wed, Fri"
39,BX11,BX112,C,2112C,"Mon, Thu",Thu,"Mon, Thu"
194,BKN05,BKN054,D,3054D,"Tue, Fri",Fri,"Tue, Fri"
89,BKN05,BKN053,C,3053C,"Mon, Thu",Thu,"Mon, Thu"
149,MN10,MN104,A,1104A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
340,MN10,MN104,B,1104B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
85,BKN08,BKN082,B,3082B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
5,QW01,QW016,C,4016C,"Mon, Thu",Thu,"Mon, Thu"
352,BKN16,BKN162,A,3162A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
245,BX10,BX103,C,2103C,"Mon, Thu",Thu,"Mon, Thu"
37,MN10,MN104,A,1104A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
48,QW01,QW016,D,4016D,"Tue, Fri",Tue,"Tue, Fri"
143,QE07,QE075,E,4075E,"Wed, Sat",Wed,Sat
515,MN07,MN075,B,1075B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
516,MN10,MN101,A,1101A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
167,BKN09,BKN092,B,3092B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
117,SI01,SI012,C,5012C,"Mon, Thu",Thu,"Mon, Thu"
241,MN11,MN113,A,1113A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
135,BKN03,BKN031,B,3031B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
280,BX09,BX091,B,2091B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
38,MN10,MN103,A,1103A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
377,MN10,MN104,B,1104B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
398,MN10,MN104,B,1104B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
36,BKS15,BKS154,C,3154C,"Mon, Thu",Thu,Mon
279,QE12,QE121,D,4121D,"Tue, Fri",Tue,"Tue, Fri"
27,MN03,MN031,A,1031A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
229,BKN08,BKN083,B,3083B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
176,MN04,MN042,B,1042B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
4,BKS06,BKS061,E,3061E,"Wed, Sat",Wed,
79,BKS06,BKS061,D,3061D,"Tue, Fri",Tue,Fri
67,BX09,BX094,E,2094E,"Wed, Sat",Sat,"Wed, Sat"
35,SI02,SI021,C,5021C,"Mon, Thu",Mon,"Mon, Thu"
180,BX06,BX062,A,2062A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
242,BKN16,BKN162,A,3162A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
233,BX03,BX031,B,2031B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
154,MN10,MN101,A,1101A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
156,BKN03,BKN031,B,3031B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
187,MN07,MN071,B,1071B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
26,QW01,QW013,C,4013C,"Mon, Thu",Mon,"Mon, Thu"
256,BKN02,BKN023,B,3023B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
160,MN12,MN121,A,1121A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
46,BKN05,BKN054,E,3054E,"Wed, Sat",Wed,"Wed, Sat"
346,BX09,BX091,A,2091A,"Mon, Wed, Fri",Mon,"Mon, Wed, Fri"
134,MN04,MN042,B,1042B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
559,MN03,MN032,A,1032A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
114,SI01,SI011,D,5011D,"Tue, Fri",Tue,"Tue, Fri"
353,BX02,BX021,B,2021B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
368,BKN08,BKN083,A,3083A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
128,BKN01,BKN014,A,3014A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
65,BKN03,BKN035,B,3035B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
325,BKN16,BKN161,B,3161B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
2,BKN01,BKN015,A,3015A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
113,BX03,BX031,B,2031B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
164,QE14,QE142,E,4142E,"Wed, Sat",Sat,Wed
221,BKN03,BKN034,B,3034B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
333,BKN03,BKN034,B,3034B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
73,BKN03,BKN031,B,3031B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
170,BKS13,BKS132,B,3132B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
97,MN11,MN112,A,1112A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
354,BKN16,BKN162,A,3162A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
123,MN11,MN111,A,1111A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
236,BX04,BX042,B,2042B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
232,QE12,QE121,D,4121D,"Tue, Fri",Tue,"Tue, Fri"
69,BKN01,BKN013,A,3013A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
199,MN11,MN112,B,1112B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
312,BKN08,BKN083,A,3083A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
70,BKN05,BKN053,D,3053D,"Tue, Fri",Fri,"Tue, Fri"
237,BX01,BX011,B,2011B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
208,BX06,BX062,A,2062A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
263,BKN05,BKN053,D,3053D,"Tue, Fri",Fri,"Tue, Fri"
234,BKN01,BKN014,B,3014B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
15,MN04,MN042,B,1042B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
29,BKN02,BKN021,B,3021B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
223,BX04,BX042,B,2042B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
226,QE12,QE127,E,4127E,"Wed, Sat",Sat,"Wed, Sat"
268,MN07,MN073,A,1073A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
309,MN12,MN121,B,1121B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
252,BKN16,BKN161,B,3161B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
25,BKS06,BKS063,C,3063C,"Mon, Thu",Thu,Thu
281,MN10,MN101,A,1101A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
40,BX12,BX121,C,2121C,"Mon, Thu",Mon,"Mon, Thu"
3,MN10,MN104,A,1104A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
147,MN10,MN104,A,1104A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
347,BX05,BX051,B,2051B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
159,MN08,MN085,B,1085B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
72,BKN16,BKN161,B,3161B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
168,BKN16,BKN162,A,3162A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
316,QE12,QE121,D,4121D,"Tue, Fri",Tue,"Tue, Fri"
122,BKN03,BKN032,A,3032A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
186,QE07,QE073,E,4073E,"Wed, Sat",Sat,"Wed, Sat"
201,QE07,QE073,E,4073E,"Wed, Sat",Sat,"Wed, Sat"
362,BX02,BX021,B,2021B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
169,BKN16,BKN162,A,3162A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
81,MN09,MN092,B,1092B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
96,BKN16,BKN162,A,3162A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
42,SI02,SI023,E,5023E,"Wed, Sat",Sat,"Wed, Sat"
342,BX03,BX031,A,2031A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
356,BX03,BX031,A,2031A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
112,MN11,MN111,B,1111B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
49,BX08,BX082,A,2082A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
181,MN11,MN111,B,1111B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
132,BX01,BX012,A,2012A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
129,BX01,BX012,A,2012A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
102,BX03,BX031,B,2031B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
517,MN07,MN074,A,1074A,"Mon, Wed, Fri",Mon,"Mon, Wed, Fri"
261,BKN05,BKN054,C,3054C,"Mon, Thu",Thu,"Mon, Thu"
127,MN07,MN073,A,1073A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
502,BX03,BX031,B,2031B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
277,MN11,MN113,B,1113B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
130,BX03,BX031,B,2031B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
43,BKS15,BKS154,C,3154C,"Mon, Thu",Thu,Mon
162,BKN16,BKN162,B,3162B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
53,QE08,QE083,D,4083D,"Tue, Fri",Fri,Tue
505,QW01,QW016,C,4016C,"Mon, Thu",Thu,"Mon, Thu"
18,MN03,MN034,A,1034A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
19,MN03,MN034,A,1034A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
218,MN08,MN082,B,1082B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
177,BKN03,BKN031,B,3031B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
99,MN03,MN031,B,1031B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
282,BKN17,BKN171,A,3171A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
93,BX01,BX012,B,2012B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
389,MN10,MN104,B,1104B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
158,BKN16,BKN162,B,3162B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
45,BX05,BX051,B,2051B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
192,MN03,MN032,B,1032B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
341,BX05,BX051,A,2051A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
343,MN11,MN113,B,1113B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
355,MN11,MN112,A,1112A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
71,BX09,BX091,B,2091B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
305,BX01,BX012,B,2012B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
8,QE12,QE123,C,4123C,"Mon, Thu",Thu,"Mon, Thu"
66,QE12,QE123,C,4123C,"Mon, Thu",Thu,"Mon, Thu"
366,BKN08,BKN083,A,3083A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
153,MN06,MN062,A,1062A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
369,BKN16,BKN162,A,3162A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
146,BKN16,BKN162,A,3162A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
131,BKN03,BKN031,B,3031B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
287,BX06,BX062,A,2062A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
240,BKN05,BKN054,C,3054C,"Mon, Thu",Thu,"Mon, Thu"
61,BKN16,BKN162,A,3162A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
315,BKN05,BKN054,C,3054C,"Mon, Thu",Thu,"Mon, Thu"
6,MN03,MN031,B,1031B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
7,MN03,MN031,B,1031B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
62,MN11,MN111,B,1111B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
74,MN11,MN113,B,1113B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
23,MN03,MN033,A,1033A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
293,MN12,MN122,A,1122A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
329,MN12,MN121,B,1121B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
151,MN07,MN074,A,1074A,"Mon, Wed, Fri",Mon,"Mon, Wed, Fri"
33,QW01,QW015,D,4015D,"Tue, Fri",Fri,"Tue, Fri"
182,BKN16,BKN162,A,3162A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
178,MN07,MN073,A,1073A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
173,MN07,MN074,A,1074A,"Mon, Wed, Fri",Mon,"Mon, Wed, Fri"
174,MN07,MN073,A,1073A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
163,BKS06,BKS063,C,3063C,"Mon, Thu",Thu,Thu