DEVELOPMENT,BOROUGH,WORK TYPE,PROGRAM,RAD/PACT,UNITS,STORIES,CYEAR,FYEAR,STATUS,COST,ESTIMATE,FUNDING,IMPL_METHOD
BARUCH HOUSES ADDITION,MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,23,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
BETHUNE GARDENS,MANHATTAN,Enlarge Hopper Door,FEDERAL,2020-2021,1,22,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
BOSTON ROAD PLAZA,BRONX,Enlarge Hopper Door,FEDERAL,2022-2025,1,20,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
BRONX RIVER ADDITION,BRONX,Enlarge Hopper Door,FEDERAL,,2,43630,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
BROWN,BROOKLYN,Enlarge Hopper Door,FEDERAL,,2,6,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
CASSIDY-LAFAYETTE,STATEN ISLAND,Enlarge Hopper Door,FEDERAL,,4,6,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
CONLON LIHFE TOWER,QUEENS,Enlarge Hopper Door,FEDERAL,,1,13,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
CORSI HOUSES,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,1,16,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
DOUGLASS ADDITION,MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,16,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
HABER,BROOKLYN,Enlarge Hopper Door,FEDERAL,,3,14,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
INTERNATIONAL TOWER,QUEENS,Enlarge Hopper Door,FEDERAL,,1,10,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
KINGSBOROUGH EXTENSION,BROOKLYN,Enlarge Hopper Door,FEDERAL,,1,25,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
LA GUARDIA ADDITION,MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,16,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
MARSHALL PLAZA,MANHATTAN,Enlarge Hopper Door,FEDERAL,2020-2021,1,13,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
MELTZER TOWER,MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,20,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
MIDDLETOWN PLAZA,BRONX,Enlarge Hopper Door,FEDERAL,2026+,1,15,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
NEW LANE AREA,STATEN ISLAND,Enlarge Hopper Door,FEDERAL,,1,10,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
RANDALL AVENUE-BALCOM AVENUE,BRONX,Enlarge Hopper Door,FEDERAL,2020-2021,3,6,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
REID APARTMENTS,BROOKLYN,Enlarge Hopper Door,FEDERAL,2020-2021,1,20,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
ROBBINS PLAZA,MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,20,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
SHELTON HOUSE,QUEENS,Enlarge Hopper Door,FEDERAL,,1,12,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
STUYVESANT GARDENS II,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,1,7,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
TWIN PARKS EAST (SITE 9),BRONX,Enlarge Hopper Door,FEDERAL,,1,14,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
UNION AVENUE-EAST 163RD STREET,BRONX,Enlarge Hopper Door,FEDERAL,2026+,1,9,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
UPACA (SITE 5),MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,11,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
VANDALIA AVENUE,BROOKLYN,Enlarge Hopper Door,FEDERAL,,2,10,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
WHITE,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,1,20,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
WOODSON,BROOKLYN,Enlarge Hopper Door,FEDERAL,,3,43763,2019,2019,COMPLETED, $-   , $-   ,2018 OTPS,MRST
BUSHWICK,BROOKLYN,Enlarge Hopper Door,MIXED FINANCE/LLC1,,8,13-20,2019,2020,COMPLETED,"$44,243.94 ", $-   ,NYCHA Operating,CM/JOCs
BUTLER,BRONX,Enlarge Hopper Door,FEDERAL,,6,21,2019,2020,COMPLETED,"$38,658.23 ", $-   ,NYCHA Operating,CM/JOCs
JACKSON,BRONX,Enlarge Hopper Door,FEDERAL,,7,16,2019,2020,COMPLETED,"$44,828.82 ", $-   ,NYCHA Operating,CM/JOCs
LA GUARDIA,MANHATTAN,Enlarge Hopper Door,FEDERAL,,9,16,2019,2020,COMPLETED,"$56,519.89 ", $-   ,NYCHA Operating,CM/JOCs
LAFAYETTE,BROOKLYN,Enlarge Hopper Door,FEDERAL,,7,13-15-20,2019,2020,COMPLETED,"$52,577.56 ", $-   ,NYCHA Operating,CM/JOCs
MELROSE,BRONX,Enlarge Hopper Door,FEDERAL,2022-2025,8,14,2019,2020,COMPLETED,"$51,048.60 ", $-   ,NYCHA Operating,CM/JOCs
MORRIS I,BRONX,Enlarge Hopper Door,FEDERAL,,10,16-20,2019,2020,COMPLETED,"$57,268.37 ", $-   ,NYCHA Operating,CM/JOCs
ROOSEVELT I,BROOKLYN,Enlarge Hopper Door,FEDERAL,,6,14-15-18,2019,2020,COMPLETED,"$38,790.68 ", $-   ,NYCHA Operating,CM/JOCs
RUTGERS,MANHATTAN,Enlarge Hopper Door,MIXED FINANCE/LLC1,,5,20,2019,2020,COMPLETED,"$32,007.26 ", $-   ,NYCHA Operating,CM/JOCs
SMITH,MANHATTAN,Enlarge Hopper Door,FEDERAL,,12,17,2019,2020,COMPLETED,"$74,933.74 ", $-   ,NYCHA Operating,CM/JOCs
SUMNER,BROOKLYN,Enlarge Hopper Door,FEDERAL,,24,43658,2019,2020,COMPLETED,"$148,620.14 ", $-   ,NYCHA Operating,CM/JOCs
WEBSTER,BRONX,Enlarge Hopper Door,FEDERAL,,5,21,2019,2020,COMPLETED,"$32,309.48 ", $-   ,NYCHA Operating,CM/JOCs
CLAREMONT REHAB (GROUP 3),BRONX,Enlarge Hopper Door,FEDERAL,2022-2025,8,5,2019,2020,CANCELED,"$51,048.60 ", $-   ,NYCHA Operating,CM/JOCs
CLAREMONT REHAB (GROUP 4),BRONX,Enlarge Hopper Door,FEDERAL,2022-2025,9,43560,2019,2020,CANCELED,"$57,268.37 ", $-   ,NYCHA Operating,CM/JOCs
MARCY,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,70,6,2019,2020,CANCELED,"$431,441.19 ", $-   ,NYCHA Operating,CM/JOCs
MORRISANIA AIR RIGHTS,BRONX,Enlarge Hopper Door,FEDERAL,,5,19-23-29,2019,2020,CANCELED,"$32,430.28 ", $-   ,NYCHA Operating,CM/JOCs
TOMPKINS,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,12,43693,2019,2020,CANCELED,"$74,933.74 ", $-   ,NYCHA Operating,CM/JOCs
303 VERNON AVENUE,BROOKLYN,Enlarge Hopper Door,FEDERAL,,1,24,2020,2020,QUEUED, $-   ,"$7,435.64 ",NRR City Expense,Jacobs - JOCs
45 ALLEN STREET,MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,14,2020,2020,QUEUED, $-   ,"$7,435.64 ",NRR City Expense,Jacobs - JOCs
BARUCH,MANHATTAN,Enlarge Hopper Door,FEDERAL,,17,41833,2020,2020,QUEUED, $-   ,"$126,405.94 ",NRR City Expense,Jacobs - JOCs
BEDFORD-STUYVESANT REHAB,BROOKLYN,Enlarge Hopper Door,FEDERAL,,5,43561,2020,2020,QUEUED, $-   ,"$37,178.22 ",NRR City Expense,Jacobs - JOCs
EAST 180TH STREET-MONTEREY AVENUE,BRONX,Enlarge Hopper Door,FEDERAL,,2,10,2020,2020,QUEUED, $-   ,"$14,871.29 ",NRR City Expense,Jacobs - JOCs
GOMPERS,MANHATTAN,Enlarge Hopper Door,FEDERAL,,4,20,2020,2020,QUEUED, $-   ,"$29,742.57 ",NRR City Expense,Jacobs - JOCs
HERNANDEZ,MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,17,2020,2020,QUEUED, $-   ,"$7,435.64 ",NRR City Expense,
HYLAN,BROOKLYN,Enlarge Hopper Door,FEDERAL,,1,19,2020,2020,QUEUED, $-   ,"$7,435.64 ",NRR City Expense,Jacobs - JOCs
LOWER EAST SIDE I INFILL,MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,43564,2020,2020,QUEUED, $-   ,"$7,435.64 ",NRR City Expense,Jacobs - JOCs
MORRIS II,BRONX,Enlarge Hopper Door,FEDERAL,,7,16-20,2020,2020,QUEUED, $-   ,"$52,049.50 ",NRR City Expense,Jacobs - JOCs
MORRISANIA,BRONX,Enlarge Hopper Door,FEDERAL,,2,16,2020,2020,QUEUED, $-   ,"$14,871.29 ",NRR City Expense,Jacobs - JOCs
RIIS,MANHATTAN,Enlarge Hopper Door,FEDERAL,,18,41803,2020,2020,QUEUED, $-   ,"$133,841.58 ",NRR City Expense,Jacobs - JOCs
RIIS II,MANHATTAN,Enlarge Hopper Door,FEDERAL,,8,41803,2020,2020,QUEUED, $-   ,"$59,485.15 ",NRR City Expense,
ROOSEVELT II,BROOKLYN,Enlarge Hopper Door,FEDERAL,,3,14-15,2020,2020,QUEUED, $-   ,"$22,306.93 ",NRR City Expense,Jacobs - JOCs
SEWARD PARK EXTENSION,MANHATTAN,Enlarge Hopper Door,FEDERAL,,2,23,2020,2020,QUEUED, $-   ,"$14,871.29 ",NRR City Expense,Jacobs - JOCs
TWO BRIDGES URA (SITE 7),MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,26,2020,2020,QUEUED, $-   ,"$7,435.64 ",NRR City Expense,Jacobs - JOCs
VLADECK II,MANHATTAN,Enlarge Hopper Door,FEDERAL,,9,6,2020,2020,QUEUED, $-   ,"$66,920.79 ",NRR City Expense,
WALD,MANHATTAN,Enlarge Hopper Door,FEDERAL,,16,43783,2020,2020,QUEUED, $-   ,"$118,970.30 ",NRR City Expense,Jacobs - JOCs
BRACETTI PLAZA,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,2,7,2020,2020,CANCELED, $-   ,"$14,871.29 ",,
CAMPOS PLAZA II,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,3,43725,2020,2020,CANCELED, $-   ,"$22,306.93 ",,
CLAREMONT REHAB (GROUP 2),BRONX,Enlarge Hopper Door,FEDERAL,2022-2025,4,43591,2020,2020,CANCELED, $-   ,"$29,742.57 ",,
CLAREMONT REHAB (GROUP 5),BRONX,Enlarge Hopper Door,FEDERAL,2022-2025,3,5,2020,2020,CANCELED, $-   ,"$22,306.93 ",,
COLLEGE AVENUE-EAST 165TH STREET,BRONX,Enlarge Hopper Door,FEDERAL,2022-2025,1,6,2020,2020,CANCELED, $-   ,"$7,435.64 ",,
LOWER EAST SIDE II,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,1,3,2020,2020,CANCELED, $-   ,"$7,435.64 ",,
LOWER EAST SIDE REHAB (GROUP 5),MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,3,6,2020,2020,CANCELED, $-   ,"$22,306.93 ",,
TELLER AVENUE-EAST 166TH STREET,BRONX,Enlarge Hopper Door,FEDERAL,2022-2025,2,6,2020,2020,CANCELED, $-   ,"$14,871.29 ",,
FIRST HOUSES,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,8,43560,2021,,CANCELED, $-   , $-   ,,
1010 EAST 178TH STREET,BRONX,Enlarge Hopper Door,FEDERAL,,1,21,,,, $-   ,"$8,736.88 ",,
104-14 TAPSCOTT STREET,BROOKLYN,Enlarge Hopper Door,FEDERAL,2020-2021,1,4,,,, $-   ,"$8,736.88 ",,
1162-1176 WASHINGTON AVENUE,BRONX,Enlarge Hopper Door,FEDERAL,2022-2025,1,6,,,, $-   ,"$8,476.63 ",,
131 SAINT NICHOLAS AVENUE,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,1,17,,,, $-   ,"$7,956.14 ",,
1471 WATSON AVENUE,BRONX,Enlarge Hopper Door,FEDERAL,2026+,2,6,,,, $-   ,"$16,953.27 ",,
154 WEST 84TH STREET,MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,7,,,, $-   ,"$8,476.63 ",,
335 EAST 111TH STREET,MANHATTAN,Enlarge Hopper Door,FEDERAL,2020-2021,1,6,,,, $-   ,"$7,695.89 ",,
344 EAST 28TH STREET,MANHATTAN,Enlarge Hopper Door,MIXED FINANCE/LLC2,2020-2021,1,26,,,, $-   ,"$8,476.63 ",,
572 WARREN STREET,BROOKLYN,Enlarge Hopper Door,FEDERAL,2019,2,6,,,, $-   ,"$17,994.26 ",,
830 AMSTERDAM AVENUE,MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,20,,,, $-   ,"$8,476.63 ",,
ADAMS,BRONX,Enlarge Hopper Door,FEDERAL,,7,15-21,,,, $-   ,"$57,514.70 ",,
ALBANY,BROOKLYN,Enlarge Hopper Door,FEDERAL,2022-2025,6,14,,,, $-   ,"$50,859.80 ",,
ALBANY II,BROOKLYN,Enlarge Hopper Door,FEDERAL,2022-2025,3,13-14,,,, $-   ,"$25,429.90 ",,
AMSTERDAM,MANHATTAN,Enlarge Hopper Door,FEDERAL,,24,43629,,,, $-   ,"$203,439.21 ",,
AMSTERDAM ADDITION,MANHATTAN,Enlarge Hopper Door,MIXED FINANCE/LLC1,,1,27,,,, $-   ,"$8,476.63 ",,
ARMSTRONG I,BROOKLYN,Enlarge Hopper Door,FEDERAL,2019,7,38780,,,, $-   ,"$53,871.24 ",,
ARMSTRONG II,BROOKLYN,Enlarge Hopper Door,FEDERAL,2019,9,4,,,, $-   ,"$69,263.02 ",,
ASTORIA,QUEENS,Enlarge Hopper Door,FEDERAL,2022-2025,22,43623,,,, $-   ,"$186,485.94 ",,
ATLANTIC TERMINAL SITE 4B,BROOKLYN,Enlarge Hopper Door,FEDERAL,,1,31,,,, $-   ,"$8,997.13 ",,
AUDUBON,MANHATTAN,Enlarge Hopper Door,FEDERAL,2020-2021,1,20,,,, $-   ,"$7,435.64 ",,
BAILEY AVENUE-WEST 193RD STREET,BRONX,Enlarge Hopper Door,FEDERAL,,1,20,,,, $-   ,"$8,476.63 ",,
BAISLEY PARK,QUEENS,Enlarge Hopper Door,FEDERAL,,5,8,,,, $-   ,"$42,383.17 ",,
BAY VIEW,BROOKLYN,Enlarge Hopper Door,MIXED FINANCE/LLC1,2026+,23,8,,,, $-   ,"$194,962.57 ",,
BEACH 41ST STREET-BEACH CHANNEL DRIVE,QUEENS,Enlarge Hopper Door,FEDERAL,2026+,6,13,,,, $-   ,"$50,859.80 ",,
BELMONT-SUTTER AREA,BROOKLYN,Enlarge Hopper Door,FEDERAL,,0,3,,,, $-   , $-   ,,
BERRY,STATEN ISLAND,Enlarge Hopper Door,FEDERAL,,16,6,,,, $-   ,"$135,626.14 ",,
BERRY STREET-SOUTH 9TH STREET,BROOKLYN,Enlarge Hopper Door,FEDERAL,2019,1,43530,,,, $-   ,"$8,736.88 ",,
BLAND,QUEENS,Enlarge Hopper Door,FEDERAL,,5,10,,,, $-   ,"$42,383.17 ",,
BORINQUEN PLAZA I,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,8,7,,,, $-   ,"$59,485.15 ",,
BORINQUEN PLAZA II,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,7,7,,,, $-   ,"$52,049.50 ",,
BOSTON SECOR,BRONX,Enlarge Hopper Door,FEDERAL,,4,13-14-17-18,,,, $-   ,"$33,906.53 ",,
BOULEVARD,BROOKLYN,Enlarge Hopper Door,MIXED FINANCE/LLC2,2020-2021,30,43630,,,, $-   ,"$238,684.16 ",,
BOYNTON AVENUE REHAB,BRONX,Enlarge Hopper Door,FEDERAL,,3,43561,,,, $-   ,"$23,868.42 ",,
BREUKELEN,BROOKLYN,Enlarge Hopper Door,FEDERAL,2020-2021,94,43531,,,, $-   ,"$747,877.02 ",,
BREVOORT,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,26,7,,,, $-   ,"$206,859.60 ",,
BRONX RIVER,BRONX,Enlarge Hopper Door,FEDERAL,,9,14,,,, $-   ,"$69,263.02 ",,
BROWNSVILLE,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,46,43623,,,, $-   ,"$389,925.15 ",,
BRYANT AVENUE-EAST 174TH STREET,BRONX,Enlarge Hopper Door,FEDERAL,,1,6,,,, $-   ,"$8,476.63 ",,
CAREY GARDENS,BROOKLYN,Enlarge Hopper Door,FEDERAL,,3,15-17,,,, $-   ,"$25,429.90 ",,
CARLETON MANOR,QUEENS,Enlarge Hopper Door,FEDERAL,2026+,1,11,,,, $-   ,"$8,736.88 ",,
CARVER,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,13,43631,,,, $-   ,"$100,046.58 ",,
CASTLE HILL,BRONX,Enlarge Hopper Door,MIXED FINANCE/LLC1,,14,43819,,,, $-   ,"$111,385.94 ",,
CHELSEA,MANHATTAN,Enlarge Hopper Door,MIXED FINANCE/LLC1,,4,21,,,, $-   ,"$33,906.53 ",,
CHELSEA ADDITION,MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,14,,,, $-   ,"$8,476.63 ",,
CLAREMONT PARKWAY-FRANKLIN AVENUE,BRONX,Enlarge Hopper Door,FEDERAL,2026+,3,43531,,,, $-   ,"$23,087.67 ",,
CLASON POINT GARDENS,BRONX,Enlarge Hopper Door,FEDERAL,2022-2025,0,2,,,, $-   , $-   ,,
CLINTON,MANHATTAN,Enlarge Hopper Door,FEDERAL,,6,43726,,,, $-   ,"$44,613.86 ",,
CONEY ISLAND,BROOKLYN,Enlarge Hopper Door,FEDERAL,,5,14,,,, $-   ,"$42,383.17 ",,
CONEY ISLAND I (SITE 1B),BROOKLYN,Enlarge Hopper Door,FEDERAL,,1,18,,,, $-   ,"$8,476.63 ",,
CONEY ISLAND I (SITE 8),BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,1,14,,,, $-   ,"$8,476.63 ",,
CONEY ISLAND I (SITES 4 & 5),BROOKLYN,Enlarge Hopper Door,FEDERAL,,3,17,,,, $-   ,"$26,210.64 ",,
COOPER PARK,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,13,7,,,, $-   ,"$103,429.80 ",,
CROWN HEIGHTS,BROOKLYN,Enlarge Hopper Door,FEDERAL,2022-2025,8,4,,,, $-   ,"$69,895.05 ",,
CYPRESS HILLS,BROOKLYN,Enlarge Hopper Door,FEDERAL,2022-2025,30,7,,,, $-   ,"$254,299.01 ",,
DAVIDSON,BRONX,Enlarge Hopper Door,FEDERAL,2026+,1,8,,,, $-   ,"$7,695.89 ",,
DE HOSTOS APARTMENTS,MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,22,,,, $-   ,"$8,476.63 ",,
DOUGLASS I,MANHATTAN,Enlarge Hopper Door,FEDERAL,,0,5-9-12-17-20,,,, $-   , $-   ,,
DOUGLASS II,MANHATTAN,Enlarge Hopper Door,FEDERAL,,0,9-12-17-18-20,,,, $-   , $-   ,,
DREW-HAMILTON,MANHATTAN,Enlarge Hopper Door,MIXED FINANCE/LLC1,,5,21,,,, $-   ,"$38,479.46 ",,
DYCKMAN,MANHATTAN,Enlarge Hopper Door,FEDERAL,,7,14,,,, $-   ,"$59,336.44 ",,
EAGLE AVENUE-EAST 163RD STREET,BRONX,Enlarge Hopper Door,FEDERAL,2026+,1,6,,,, $-   ,"$8,476.63 ",,
EAST 152ND STREET-COURTLANDT AVENUE,BRONX,Enlarge Hopper Door,FEDERAL,2022-2025,2,43783,,,, $-   ,"$16,953.27 ",,
EAST 165TH STREET-BRYANT AVENUE,BRONX,Enlarge Hopper Door,FEDERAL,,0,3,,,, $-   , $-   ,,
EAST 173RD STREET-VYSE AVENUE,BRONX,Enlarge Hopper Door,FEDERAL,,0,3,,,, $-   , $-   ,,
EAST NEW YORK CITY LINE,BROOKLYN,Enlarge Hopper Door,FEDERAL,2022-2025,0,3,,,, $-   , $-   ,,
EAST RIVER,MANHATTAN,Enlarge Hopper Door,FEDERAL,2022-2025,29,40704,,,, $-   ,"$223,180.84 ",,
EASTCHESTER GARDENS,BRONX,Enlarge Hopper Door,FEDERAL,2026+,15,43654,,,, $-   ,"$127,149.50 ",,
EDENWALD,BRONX,Enlarge Hopper Door,FEDERAL,2022-2025,71,43538,,,, $-   ,"$564,885.84 ",,
ELLIOTT,MANHATTAN,Enlarge Hopper Door,FEDERAL,,8,43781,,,, $-   ,"$63,649.11 ",,
FARRAGUT,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,10,14,,,, $-   ,"$79,561.39 ",,
FENIMORE-LEFFERTS,BROOKLYN,Enlarge Hopper Door,FEDERAL,2020-2021,0,2,,,, $-   , $-   ,,
FHA REPOSSESSED HOUSES (GROUP I),0,Enlarge Hopper Door,FEDERAL,,0,43467,,,, $-   , $-   ,,
FHA REPOSSESSED HOUSES (GROUP II),0,Enlarge Hopper Door,FEDERAL,,0,37623,,,, $-   , $-   ,,
FHA REPOSSESSED HOUSES (GROUP III),0,Enlarge Hopper Door,FEDERAL,,0,43467,,,, $-   , $-   ,,
