DEVELOPMENT,BOROUGH,WORK TYPE,PROGRAM,RAD/PACT,UNITS,STORIES,CYEAR,FYEAR,STATUS,COST,ESTIMATE,FUNDING,IMPL_METHOD
FHA REPOSSESSED HOUSES (GROUP IV),0,Enlarge Hopper Door,FEDERAL,,0,37623,,,, $-   , $-   ,,
FHA REPOSSESSED HOUSES (GROUP IX),0,Enlarge Hopper Door,FEDERAL,,0,1-1.5-2-2.5-3,,,, $-   , $-   ,,
FHA REPOSSESSED HOUSES (GROUP V),0,Enlarge Hopper Door,FEDERAL,,0,37623,,,, $-   , $-   ,,
FHA REPOSSESSED HOUSES (GROUP VI),0,Enlarge Hopper Door,FEDERAL,,0,1-1.5-2-2.5,,,, $-   , $-   ,,
FHA REPOSSESSED HOUSES (GROUP VII),0,Enlarge Hopper Door,FEDERAL,,0,1-1.5-2-2.5,,,, $-   , $-   ,,
FHA REPOSSESSED HOUSES (GROUP VIII),0,Enlarge Hopper Door,FEDERAL,,0,1-1.5-2-2.5,,,, $-   , $-   ,,
FHA REPOSSESSED HOUSES (GROUP X),0,Enlarge Hopper Door,FEDERAL,,0,1-1.5-2-2.5,,,, $-   , $-   ,,
FIORENTINO PLAZA,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,10,4,,,, $-   ,"$82,163.86 ",,
FOREST,BRONX,Enlarge Hopper Door,FEDERAL,2026+,30,41892,,,, $-   ,"$238,684.16 ",,
FORT INDEPENDENCE STREET-HEATH AVENUE,BRONX,Enlarge Hopper Door,FEDERAL,,2,21,,,, $-   ,"$16,953.27 ",,
FORT WASHINGTON AVENUE REHAB,MANHATTAN,Enlarge Hopper Door,FEDERAL,2020-2021,1,7,,,, $-   ,"$7,695.89 ",,
FULTON,MANHATTAN,Enlarge Hopper Door,FEDERAL,,19,43641,,,, $-   ,"$146,221.93 ",,
GARVEY (GROUP A),BROOKLYN,Enlarge Hopper Door,FEDERAL,,5,"2, 6-14",,,, $-   ,"$42,383.17 ",,
GLEBE AVENUE-WESTCHESTER AVENUE,BRONX,Enlarge Hopper Door,FEDERAL,2026+,1,6,,,, $-   ,"$8,476.63 ",,
GLENMORE PLAZA,BROOKLYN,Enlarge Hopper Door,FEDERAL,,5,45583,,,, $-   ,"$39,780.69 ",,
GLENWOOD,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,40,6,,,, $-   ,"$349,475.24 ",,
GOWANUS,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,24,4-6-9-13-14,,,, $-   ,"$209,685.15 ",,
GRAMPION,MANHATTAN,Enlarge Hopper Door,FEDERAL,2020-2021,1,7,,,, $-   ,"$7,695.89 ",,
GRANT,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,9,13-21,,,, $-   ,"$66,920.79 ",,
GRAVESEND,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,15,7,,,, $-   ,"$131,053.22 ",,
GUN HILL,BRONX,Enlarge Hopper Door,FEDERAL,,6,14,,,, $-   ,"$52,421.29 ",,
HAMMEL,QUEENS,Enlarge Hopper Door,FEDERAL,2026+,14,7,,,, $-   ,"$118,672.87 ",,
HARBORVIEW TERRACE,MANHATTAN,Enlarge Hopper Door,FEDERAL,,2,14-15,,,, $-   ,"$16,953.27 ",,
HARLEM RIVER,MANHATTAN,Enlarge Hopper Door,FEDERAL,2020-2021,47,43560,,,, $-   ,"$361,706.88 ",,
HARLEM RIVER II,MANHATTAN,Enlarge Hopper Door,FEDERAL,2020-2021,1,15,,,, $-   ,"$7,435.64 ",,
HARRISON AVENUE REHAB (GROUP A),BRONX,Enlarge Hopper Door,FEDERAL,,1,5,,,, $-   ,"$8,736.88 ",,
HARRISON AVENUE REHAB (GROUP B),BRONX,Enlarge Hopper Door,FEDERAL,,4,43591,,,, $-   ,"$34,947.52 ",,
HIGHBRIDGE GARDENS,BRONX,Enlarge Hopper Door,FEDERAL,,6,13-14,,,, $-   ,"$46,175.35 ",,
HOE AVENUE-EAST 173RD STREET,BRONX,Enlarge Hopper Door,FEDERAL,,1,6,,,, $-   ,"$8,476.63 ",,
HOLMES TOWERS,MANHATTAN,Enlarge Hopper Door,FEDERAL,,2,25,,,, $-   ,"$17,473.76 ",,
HOWARD,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,16,43659,,,, $-   ,"$127,298.22 ",,
HOWARD AVENUE,BROOKLYN,Enlarge Hopper Door,FEDERAL,2022-2025,0,3,,,, $-   , $-   ,,
HOWARD AVENUE-PARK PLACE,BROOKLYN,Enlarge Hopper Door,FEDERAL,2022-2025,0,3,,,, $-   , $-   ,,
HUGHES APARTMENTS,BROOKLYN,Enlarge Hopper Door,FEDERAL,,3,22,,,, $-   ,"$26,210.64 ",,
HUNTS POINT AVENUE REHAB,BRONX,Enlarge Hopper Door,FEDERAL,,1,43560,,,, $-   ,"$8,476.63 ",,
INDEPENDENCE,BROOKLYN,Enlarge Hopper Door,MIXED FINANCE/LLC2,2019,6,21,,,, $-   ,"$52,421.29 ",,
INGERSOLL,BROOKLYN,Enlarge Hopper Door,FEDERAL,,45,43627,,,, $-   ,"$358,026.23 ",,
ISAACS,MANHATTAN,Enlarge Hopper Door,FEDERAL,,3,24,,,, $-   ,"$26,210.64 ",,
JEFFERSON,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,34,41833,,,, $-   ,"$261,660.29 ",,
JOHNSON,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,17,14,,,, $-   ,"$126,405.94 ",,
KING TOWERS,MANHATTAN,Enlarge Hopper Door,FEDERAL,,10,13-14,,,, $-   ,"$74,356.44 ",,
KINGSBOROUGH,BROOKLYN,Enlarge Hopper Door,FEDERAL,,35,6,,,, $-   ,"$269,356.19 ",,
LATIMER GARDENS,QUEENS,Enlarge Hopper Door,FEDERAL,,4,10,,,, $-   ,"$34,947.52 ",,
LEAVITT STREET-34TH AVENUE,QUEENS,Enlarge Hopper Door,FEDERAL,,1,6,,,, $-   ,"$8,736.88 ",,
LEHMAN VILLAGE,MANHATTAN,Enlarge Hopper Door,FEDERAL,,4,20,,,, $-   ,"$33,906.53 ",,
LENOX ROAD-ROCKAWAY PARKWAY,BROOKLYN,Enlarge Hopper Door,FEDERAL,2020-2021,3,4,,,, $-   ,"$26,210.64 ",,
LEXINGTON,MANHATTAN,Enlarge Hopper Door,FEDERAL,2022-2025,4,14,,,, $-   ,"$30,783.56 ",,
LINCOLN,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,20,43630,,,, $-   ,"$148,712.87 ",,
LINDEN,BROOKLYN,Enlarge Hopper Door,MIXED FINANCE/LLC2,2020-2021,19,43691,,,, $-   ,"$166,000.74 ",,
LONG ISLAND BAPTIST HOUSES,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,4,6,,,, $-   ,"$32,865.54 ",,
LONGFELLOW AVENUE REHAB,BRONX,Enlarge Hopper Door,FEDERAL,,5,5,,,, $-   ,"$42,383.17 ",,
LOW HOUSES,BROOKLYN,Enlarge Hopper Door,FEDERAL,,4,17-18,,,, $-   ,"$31,824.55 ",,
LOWER EAST SIDE III,MANHATTAN,Enlarge Hopper Door,FEDERAL,,0,4,,,, $-   , $-   ,,
MANHATTANVILLE,MANHATTAN,Enlarge Hopper Door,MIXED FINANCE/LLC1,2026+,6,20,,,, $-   ,"$46,175.35 ",,
MANHATTANVILLE REHAB (GROUP 2),MANHATTAN,Enlarge Hopper Door,FEDERAL,2020-2021,1,43591,,,, $-   ,"$7,695.89 ",,
MANHATTANVILLE REHAB (GROUP 3),MANHATTAN,Enlarge Hopper Door,FEDERAL,2020-2021,1,43591,,,, $-   ,"$7,695.89 ",,
MARBLE HILL,BRONX,Enlarge Hopper Door,MIXED FINANCE/LLC1,,11,14-15,,,, $-   ,"$96,105.69 ",,
MARCY AVENUE-GREENE AVENUE SITE A,BROOKLYN,Enlarge Hopper Door,FEDERAL,2019,0,3,,,, $-   , $-   ,,
MARCY AVENUE-GREENE AVENUE SITE B,BROOKLYN,Enlarge Hopper Door,FEDERAL,2019,0,3,,,, $-   , $-   ,,
MARINER'S HARBOR,STATEN ISLAND,Enlarge Hopper Door,FEDERAL,2026+,32,43530,,,, $-   ,"$279,580.20 ",,
MARLBORO,BROOKLYN,Enlarge Hopper Door,MIXED FINANCE/LLC1,2026+,28,43662,,,, $-   ,"$222,771.88 ",,
MCKINLEY,BRONX,Enlarge Hopper Door,FEDERAL,2026+,5,16,,,, $-   ,"$39,780.69 ",,
METRO NORTH PLAZA,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,3,40732,,,, $-   ,"$23,868.42 ",,
MILL BROOK,BRONX,Enlarge Hopper Door,FEDERAL,,12,16,,,, $-   ,"$101,719.60 ",,
MILL BROOK EXTENSION,BRONX,Enlarge Hopper Door,FEDERAL,,1,16,,,, $-   ,"$8,476.63 ",,
MITCHEL,BRONX,Enlarge Hopper Door,FEDERAL,2026+,10,17-19-20,,,, $-   ,"$79,561.39 ",,
MONROE,BRONX,Enlarge Hopper Door,FEDERAL,2026+,18,42230,,,, $-   ,"$138,526.04 ",,
MOORE,BRONX,Enlarge Hopper Door,FEDERAL,2026+,4,20,,,, $-   ,"$30,783.56 ",,
MORRIS PARK SENIOR CITIZENS HOME,MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,9,,,, $-   ,"$7,435.64 ",,
MOTT HAVEN,BRONX,Enlarge Hopper Door,FEDERAL,2026+,8,20-22,,,, $-   ,"$69,895.05 ",,
NOSTRAND,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,32,6,,,, $-   ,"$262,924.35 ",,
O'DWYER GARDENS,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,6,15-16,,,, $-   ,"$52,421.29 ",,
OCEAN BAY APARTMENTS (OCEANSIDE),QUEENS,Enlarge Hopper Door,FEDERAL,2026+,14,6,,,, $-   ,"$118,672.87 ",,
OCEAN HILL APARTMENTS,BROOKLYN,Enlarge Hopper Door,FEDERAL,,3,14,,,, $-   ,"$26,210.64 ",,
OCEAN HILL-BROWNSVILLE,BROOKLYN,Enlarge Hopper Door,FEDERAL,2022-2025,6,4,,,, $-   ,"$52,421.29 ",,
"PARK AVENUE-EAST 122ND, 123RD STREETS",MANHATTAN,Enlarge Hopper Door,FEDERAL,2020-2021,2,6,,,, $-   ,"$15,391.78 ",,
PARK ROCK REHAB,BROOKLYN,Enlarge Hopper Door,FEDERAL,2022-2025,7,4,,,, $-   ,"$61,158.17 ",,
PARKSIDE,BRONX,Enlarge Hopper Door,FEDERAL,2026+,20,6-7-14-15,,,, $-   ,"$174,737.62 ",,
PATTERSON,BRONX,Enlarge Hopper Door,FEDERAL,2022-2025,25,43629,,,, $-   ,"$185,891.09 ",,
PELHAM PARKWAY,BRONX,Enlarge Hopper Door,FEDERAL,2022-2025,38,6,,,, $-   ,"$302,333.26 ",,
PENNSYLVANIA AVENUE-WORTMAN AVENUE,BROOKLYN,Enlarge Hopper Door,FEDERAL,,3,43693,,,, $-   ,"$26,210.64 ",,
PINK,BROOKLYN,Enlarge Hopper Door,FEDERAL,,22,8,,,, $-   ,"$186,485.94 ",,
POLO GROUNDS TOWERS,MANHATTAN,Enlarge Hopper Door,FEDERAL,,8,30,,,, $-   ,"$61,567.13 ",,
POMONOK,QUEENS,Enlarge Hopper Door,FEDERAL,2026+,121,39514,,,, $-   ,"$994,182.71 ",,
PUBLIC SCHOOL 139 (CONVERSION),MANHATTAN,Enlarge Hopper Door,FEDERAL,2020-2021,1,5,,,, $-   ,"$7,695.89 ",,
QUEENSBRIDGE NORTH,QUEENS,Enlarge Hopper Door,FEDERAL,2026+,47,6,,,, $-   ,"$361,706.88 ",,
QUEENSBRIDGE SOUTH,QUEENS,Enlarge Hopper Door,FEDERAL,2026+,49,6,,,, $-   ,"$377,098.66 ",,
RALPH AVENUE REHAB,BROOKLYN,Enlarge Hopper Door,FEDERAL,2020-2021,5,4,,,, $-   ,"$43,684.41 ",,
RANGEL,MANHATTAN,Enlarge Hopper Door,FEDERAL,,9,14,,,, $-   ,"$69,263.02 ",,
RAVENSWOOD,QUEENS,Enlarge Hopper Door,FEDERAL,,45,43623,,,, $-   ,"$369,737.37 ",,
RED HOOK EAST,BROOKLYN,Enlarge Hopper Door,FEDERAL,2022-2025,47,43502,,,, $-   ,"$386,170.15 ",,
RED HOOK WEST,BROOKLYN,Enlarge Hopper Door,FEDERAL,2022-2025,49,41704,,,, $-   ,"$402,602.92 ",,
REDFERN,QUEENS,Enlarge Hopper Door,FEDERAL,2020-2021,16,43623,,,, $-   ,"$131,462.18 ",,
REHAB PROGRAM (COLLEGE POINT),QUEENS,Enlarge Hopper Door,FEDERAL,,0,1,,,, $-   , $-   ,,
REHAB PROGRAM (DOUGLASS REHABS),MANHATTAN,Enlarge Hopper Door,FEDERAL,,3,39147,,,, $-   ,"$25,429.90 ",,
REHAB PROGRAM (TAFT REHABS),MANHATTAN,Enlarge Hopper Door,FEDERAL,,4,7,,,, $-   ,"$33,906.53 ",,
REHAB PROGRAM (WISE REHAB),MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,5,,,, $-   ,"$8,476.63 ",,
RICHMOND TERRACE,STATEN ISLAND,Enlarge Hopper Door,FEDERAL,,6,8,,,, $-   ,"$52,421.29 ",,
ROBINSON,MANHATTAN,Enlarge Hopper Door,FEDERAL,,2,8,,,, $-   ,"$15,391.78 ",,
RUTLAND TOWERS,BROOKLYN,Enlarge Hopper Door,FEDERAL,2020-2021,1,6,,,, $-   ,"$8,216.39 ",,
SACK WERN,BRONX,Enlarge Hopper Door,FEDERAL,2022-2025,7,6,,,, $-   ,"$59,336.44 ",,
SAINT MARY'S PARK,BRONX,Enlarge Hopper Door,MIXED FINANCE/LLC1,2026+,6,21,,,, $-   ,"$46,175.35 ",,
SAINT NICHOLAS,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,14,14,,,, $-   ,"$111,385.94 ",,
SAMUEL (CITY),MANHATTAN,Enlarge Hopper Door,MIXED FINANCE/LLC1,2020-2021,40,39208,,,, $-   ,"$307,835.64 ",,
SAMUEL (MHOP) I,MANHATTAN,Enlarge Hopper Door,MHOP,2020-2021,1,5,,,, $-   ,"$8,736.88 ",,
SAMUEL (MHOP) II,MANHATTAN,Enlarge Hopper Door,MHOP,2020-2021,0,5,,,, $-   , $-   ,,
SAMUEL (MHOP) III,MANHATTAN,Enlarge Hopper Door,MHOP,2020-2021,1,5,,,, $-   ,"$8,736.88 ",,
SARATOGA VILLAGE,BROOKLYN,Enlarge Hopper Door,FEDERAL,,1,16,,,, $-   ,"$8,476.63 ",,
SEDGWICK,BRONX,Enlarge Hopper Door,FEDERAL,,7,14-15,,,, $-   ,"$61,158.17 ",,
SHEEPSHEAD BAY,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,36,6,,,, $-   ,"$295,789.90 ",,
SOTOMAYOR HOUSES,BRONX,Enlarge Hopper Door,FEDERAL,2026+,28,7,,,, $-   ,"$230,058.81 ",,
SOUNDVIEW,BRONX,Enlarge Hopper Door,FEDERAL,2022-2025,26,7,,,, $-   ,"$227,158.91 ",,
SOUTH BEACH,STATEN ISLAND,Enlarge Hopper Door,FEDERAL,,15,6,,,, $-   ,"$127,149.50 ",,
SOUTH BRONX AREA (SITE 402),BRONX,Enlarge Hopper Door,FEDERAL,2026+,0,3,,,, $-   , $-   ,,
SOUTH JAMAICA I,QUEENS,Enlarge Hopper Door,FEDERAL,2026+,33,43528,,,, $-   ,"$271,140.74 ",,
SOUTH JAMAICA II,QUEENS,Enlarge Hopper Door,FEDERAL,2026+,27,43531,,,, $-   ,"$228,869.11 ",,
STANTON STREET,MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,6,,,, $-   ,"$8,736.88 ",,
STAPLETON,STATEN ISLAND,Enlarge Hopper Door,MIXED FINANCE/LLC1,,12,"1, 8",,,, $-   ,"$104,842.57 ",,
STEBBINS AVENUE-HEWITT PLACE,BRONX,Enlarge Hopper Door,FEDERAL,2026+,0,3,,,, $-   , $-   ,,
STERLING PLACE REHABS (SAINT JOHNS-STERLING),BROOKLYN,Enlarge Hopper Door,FEDERAL,2022-2025,5,4,,,, $-   ,"$43,684.41 ",,
STERLING PLACE REHABS (STERLING-BUFFALO),BROOKLYN,Enlarge Hopper Door,FEDERAL,2022-2025,7,4,,,, $-   ,"$59,336.44 ",,
STRAUS,MANHATTAN,Enlarge Hopper Door,FEDERAL,,2,19-20,,,, $-   ,"$16,432.77 ",,
STUYVESANT GARDENS I,BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,11,4,,,, $-   ,"$93,242.97 ",,
SURFSIDE GARDENS,BROOKLYN,Enlarge Hopper Door,FEDERAL,,5,14-15,,,, $-   ,"$43,684.41 ",,
SUTTER AVENUE-UNION STREET,BROOKLYN,Enlarge Hopper Door,FEDERAL,2020-2021,6,43561,,,, $-   ,"$52,421.29 ",,
TAFT,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,18,19,,,, $-   ,"$133,841.58 ",,
TAPSCOTT STREET REHAB,BROOKLYN,Enlarge Hopper Door,FEDERAL,2020-2021,8,4,,,, $-   ,"$69,895.05 ",,
TAYLOR STREET-WYTHE AVENUE,BROOKLYN,Enlarge Hopper Door,FEDERAL,,5,8-11-12-13,,,, $-   ,"$43,684.41 ",,
THOMAS APARTMENTS,MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,11,,,, $-   ,"$8,997.13 ",,
THROGGS NECK,BRONX,Enlarge Hopper Door,FEDERAL,2020-2021,62,43531,,,, $-   ,"$509,415.94 ",,
THROGGS NECK ADDITION,BRONX,Enlarge Hopper Door,FEDERAL,2020-2021,4,43688,,,, $-   ,"$32,865.54 ",,
TILDEN,BROOKLYN,Enlarge Hopper Door,FEDERAL,,8,16,,,, $-   ,"$67,813.07 ",,
TODT HILL,STATEN ISLAND,Enlarge Hopper Door,FEDERAL,,14,6,,,, $-   ,"$118,672.87 ",,
UNION AVENUE-EAST 166TH STREET,BRONX,Enlarge Hopper Door,FEDERAL,2026+,0,3,,,, $-   , $-   ,,
"UNITY PLAZA (SITES 17,24,25A)",BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,5,6,,,, $-   ,"$41,081.93 ",,
UNITY PLAZA (SITES 4-27),BROOKLYN,Enlarge Hopper Door,FEDERAL,2026+,12,6,,,, $-   ,"$98,596.63 ",,
UNIVERSITY AVENUE REHAB,BRONX,Enlarge Hopper Door,FEDERAL,,5,6,,,, $-   ,"$43,684.41 ",,
UPACA (SITE 6),MANHATTAN,Enlarge Hopper Door,FEDERAL,,6,12,,,, $-   ,"$46,175.35 ",,
VAN DYKE I,BROOKLYN,Enlarge Hopper Door,FEDERAL,2022-2025,31,43538,,,, $-   ,"$270,843.31 ",,
VAN DYKE II,BROOKLYN,Enlarge Hopper Door,FEDERAL,,1,14,,,, $-   ,"$8,997.13 ",,
VLADECK,MANHATTAN,Enlarge Hopper Door,FEDERAL,,45,6,,,, $-   ,"$346,315.10 ",,
WAGNER,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,22,43662,,,, $-   ,"$175,035.05 ",,
WASHINGTON,MANHATTAN,Enlarge Hopper Door,FEDERAL,2022-2025,14,"2, 12-14",,,, $-   ,"$104,099.01 ",,
WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,Enlarge Hopper Door,FEDERAL,2020-2021,7,43591,,,, $-   ,"$59,336.44 ",,
WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),MANHATTAN,Enlarge Hopper Door,FEDERAL,,3,5,,,, $-   ,"$26,991.39 ",,
WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER),MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,5,,,, $-   ,"$8,997.13 ",,
WASHINGTON HEIGHTS REHAB PHASE IV (C),MANHATTAN,Enlarge Hopper Door,FEDERAL,2020-2021,2,5,,,, $-   ,"$16,953.27 ",,
WASHINGTON HEIGHTS REHAB PHASE IV (D),MANHATTAN,Enlarge Hopper Door,FEDERAL,2020-2021,2,5,,,, $-   ,"$16,953.27 ",,
WEEKSVILLE GARDENS,BROOKLYN,Enlarge Hopper Door,FEDERAL,2019,0,43560,,,, $-   , $-   ,,
WEST BRIGHTON I,STATEN ISLAND,Enlarge Hopper Door,FEDERAL,,8,8,,,, $-   ,"$69,895.05 ",,
WEST BRIGHTON II,STATEN ISLAND,Enlarge Hopper Door,FEDERAL,,0,1,,,, $-   , $-   ,,
WEST FARMS ROAD REHAB,BRONX,Enlarge Hopper Door,FEDERAL,,7,6,,,, $-   ,"$59,336.44 ",,
WEST FARMS SQUARE CONVENTIONAL,BRONX,Enlarge Hopper Door,FEDERAL,,1,5,,,, $-   ,"$8,476.63 ",,
WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,BRONX,Enlarge Hopper Door,FEDERAL,,1,12,,,, $-   ,"$8,736.88 ",,
WHITMAN,BROOKLYN,Enlarge Hopper Door,FEDERAL,,32,43629,,,, $-   ,"$279,580.20 ",,
WILLIAMS PLAZA,BROOKLYN,Enlarge Hopper Door,MIXED FINANCE/LLC2,2019,5,14-21,,,, $-   ,"$43,684.41 ",,
WILLIAMSBURG,BROOKLYN,Enlarge Hopper Door,FEDERAL,2020-2021,136,4,,,, $-   ,"$1,223,609.49 ",,
WILSON,MANHATTAN,Enlarge Hopper Door,FEDERAL,2026+,3,20,,,, $-   ,"$23,087.67 ",,
WISE TOWERS,MANHATTAN,Enlarge Hopper Door,MIXED FINANCE/LLC2,2020-2021,4,19,,,, $-   ,"$35,988.51 ",,
WOODSIDE,QUEENS,Enlarge Hopper Door,FEDERAL,,55,6,,,, $-   ,"$466,214.85 ",,
WSUR (BROWNSTONES),MANHATTAN,Enlarge Hopper Door,FEDERAL,,0,38780,,,, $-   , $-   ,,
WSUR (SITE A) 120 WEST 94TH STREET,MANHATTAN,Enlarge Hopper Door,FEDERAL,,1,9,,,, $-   ,"$8,997.13 ",,
WSUR (SITE B) 74 WEST 92ND STREET,MANHATTAN,Enlarge Hopper Door,FEDERAL,,2,22,,,, $-   ,"$17,994.26 ",,
WSUR (SITE C) 589 AMSTERDAM AVENUE,MANHATTAN,Enlarge Hopper Door,FEDERAL,,2,18,,,, $-   ,"$17,994.26 ",,
WYCKOFF GARDENS,BROOKLYN,Enlarge Hopper Door,FEDERAL,,3,21,,,, $-   ,"$25,429.90 ",,