Consolidated Name,Consolidated TDS #,Development Name,TDS #,Method,Construction Date ,Age of the Building,# of Stories ,Building Coverage Square footage,Open Space Ratio (Calculated in GIS),Scattered Site Flag
1010 EAST 178TH STREET,180,1010 EAST 178TH STREET,180,CONVENTIONAL,3/31/71,49,21,"14,961",0.83,YES
Reid Apartments,167,104-14 TAPSCOTT STREET,242,TURNKEY,10/31/72,48,4,"6,983",0.34,YES
Claremont Consolidated,308,1162-1176 WASHINGTON AVENUE,233,TURNKEY,12/31/75,45,6,"12,231",0.42,YES
Taft,97,131 SAINT NICHOLAS AVENUE,154,CONVENTIONAL,3/31/65,55,17,"5,759",0.82,
Sotomayor,67,1471 WATSON AVENUE,214,TURNKEY,12/31/70,50,6,"13,337",0.70,
Kraus Management (MB 1),359,154 WEST 84TH STREET,359,TURNKEY,3/31/96,24,7,"5,774",0.44,YES
Sumner,73,303 VERNON AVENUE,156,CONVENTIONAL,5/31/67,53,24,"11,311",0.92,
Jefferson,64,335 EAST 111TH STREET,203,TURNKEY,6/30/69,51,6,"9,143",0.58,
Straus,153,344 EAST 28TH STREET,185,CONVENTIONAL,3/31/71,49,26,"7,889",0.80,
Gompers,100,45 ALLEN STREET,265,TURNKEY,7/31/74,46,14,"8,031",0.79,
Douglass,82,830 AMSTERDAM AVENUE,150,CONVENTIONAL,8/31/65,55,20,"7,750",0.77,
Adams,118,ADAMS,118,CONVENTIONAL,8/31/64,56,15-21,"56,283",0.86,
Albany,31,ALBANY,31,CONVENTIONAL,10/14/50,70,14,"58,455",0.86,
Albany,31,ALBANY II,85,CONVENTIONAL,2/7/57,63,13-14,"26,053",0.87,
Amsterdam,22,AMSTERDAM,22,CONVENTIONAL,12/17/48,72,6-13,"100,358",0.77,
Amsterdam,22,AMSTERDAM ADDITION,187,CONVENTIONAL,1/31/74,46,27,"17,562",0.49,
Astoria,26,ASTORIA,26,CONVENTIONAL,11/9/51,69,6-7,"173,434",0.86,
Wyckoff Gardens,163,ATLANTIC TERMINAL SITE 4B,256,TURNKEY,4/30/76,44,31,"15,382",0.82,
Harlem River,3,AUDUBON,125,CONVENTIONAL,4/30/62,58,20,"9,043",0.71,
Fort Independence,197,BAILEY AVENUE-WEST 193RD STREET,202,CONVENTIONAL,5/31/73,47,20,"13,621",0.87,
Baisley Park,91,BAISLEY PARK,91,CONVENTIONAL,4/30/61,59,8,"54,504",0.83,
Baruch,60,BARUCH,60,CONVENTIONAL,8/6/59,61,7-13-14,"160,098",0.87,
Baruch,60,BARUCH HOUSES ADDITION,198,CONVENTIONAL,4/30/77,43,23,"6,149",0.71,
Bay View,92,BAY VIEW,92,CONVENTIONAL,6/7/56,64,8,"228,305",0.85,
Beach 41st Street,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE,165,CONVENTIONAL,11/30/73,47,13,"66,756",0.92,
Sumner,73,BEDFORD-STUYVESANT REHAB,311,TURNKEY,5/31/83,37,4-6,"18,283",0.36,
Boulevard,46,BELMONT-SUTTER AREA,345,TURNKEY,2/28/86,34,3,"24,395",0.65,
Berry,52,BERRY,52,CONVENTIONAL,10/27/50,70,6,"77,152",0.86,
Harlem River,3,BETHUNE GARDENS,160,CONVENTIONAL,3/31/67,53,22,"7,751",0.88,
Latimer Gardens,186,BLAND,54,CONVENTIONAL,5/8/52,68,10,"43,237",0.84,
Borinquen Plaza,243,BORINQUEN PLAZA I,243,TURNKEY,2/28/75,45,7,"96,902",0.66,
Borinquen Plaza,243,BORINQUEN PLAZA II,271,TURNKEY,12/31/75,45,7,"61,115",0.65,
Pelham Parkway,39,BOSTON ROAD PLAZA,189,CONVENTIONAL,8/31/72,48,20,"15,045",0.73,
Boston Secor,138,BOSTON SECOR,138,CONVENTIONAL,4/30/69,51,13-14-17-18,"36,181",0.92,
Boulevard,46,BOULEVARD,46,CONVENTIONAL,3/22/51,69,6-14,"170,051",0.85,
Bronx River,32,BOYNTON AVENUE REHAB,346,TURNKEY,8/22/85,35,4-6,"16,455",0.43,YES
Lower East Side,337,BRACETTI PLAZA,264,TURNKEY,5/31/74,46,7,"18,790",0.60,
Breukelen,56,BREUKELEN,56,CONVENTIONAL,11/6/52,68,3-7,"360,423",0.87,
Brevoort,65,BREVOORT,65,CONVENTIONAL,8/10/55,65,7,"121,363",0.84,
Bronx River,32,BRONX RIVER,32,CONVENTIONAL,2/28/51,69,14,"84,235",0.83,
Bronx River,32,BRONX RIVER ADDITION,157,CONVENTIONAL,2/28/66,54,6-14,"12,286",0.81,
Marcus Garvey,252,BROWN,325,TURNKEY,7/23/85,35,6,"29,354",0.72,
Brownsville,16,BROWNSVILLE,16,CONVENTIONAL,4/16/48,72,3-6-7,"188,564",0.76,
Building Management Associates (BX 1),530,BRYANT AVENUE-EAST 174TH STREET,235,TURNKEY,8/31/72,48,6,"9,879",0.56,YES
Bushwick,86,BUSHWICK,86,CONVENTIONAL,4/1/60,60,13-20,"78,768",0.88,
Butler,113,BUTLER,113,CONVENTIONAL,12/31/64,56,21,"88,255",0.84,
Lower East Side,337,CAMPOS PLAZA II,286,CONVENTIONAL,4/30/83,37,9-17,"29,149",0.67,
Carey Gardens,166,CAREY GARDENS,166,CONVENTIONAL,11/30/70,50,15-17,"58,078",0.86,
Hammel,75,CARLETON MANOR,164,CONVENTIONAL,3/31/67,53,11,"14,051",0.90,
Carver,58,CARVER,58,CONVENTIONAL,2/14/58,62,6-15,"97,568",0.84,
Richmond Terrace,117,CASSIDY-LAFAYETTE,206,TURNKEY,9/30/71,49,6,"54,589",0.76,
Castle Hill,80,CASTLE HILL,80,CONVENTIONAL,12/15/60,60,12-20,"176,917",0.90,
Chelsea,134,CHELSEA,134,CONVENTIONAL,5/31/64,56,21,"18,557",0.77,
Chelsea,134,CHELSEA ADDITION,176,CONVENTIONAL,4/30/68,52,14,"14,475",0.66,
Union Avenue Consolidated,342,CLAREMONT PARKWAY-FRANKLIN AVENUE,334,TURNKEY,12/16/86,34,3-7,"35,258",0.74,YES
Claremont Consolidated,308,CLAREMONT REHAB (GROUP 2),307,TURNKEY,12/31/87,33,5-6,"21,948",0.35,YES
Claremont Consolidated,308,CLAREMONT REHAB (GROUP 3),308,TURNKEY,2/28/85,35,5,"21,985",0.41,YES
Claremont Consolidated,308,CLAREMONT REHAB (GROUP 4),335,TURNKEY,10/23/86,34,4-5,"29,519",0.37,YES
Claremont Consolidated,308,CLAREMONT REHAB (GROUP 5),336,TURNKEY,11/30/85,35,5,"28,605",0.50,
Sack Wern,280,CLASON POINT GARDENS,11,CONVENTIONAL,12/20/41,79,2,"154,304",0.77,
Clinton,123,CLINTON,123,CONVENTIONAL,10/31/65,55,9-18,"51,879",0.80,
Claremont Consolidated,308,COLLEGE AVENUE-EAST 165TH STREET,236,TURNKEY,7/31/72,48,6,"10,022",0.58,YES
Surfside Gardens,170,CONEY ISLAND,94,CONVENTIONAL,2/25/57,63,14,"38,119",0.85,
Carey Gardens,166,CONEY ISLAND I (SITE 1B),239,TURNKEY,5/31/73,47,18,"14,078",0.86,
O'Dwyer Gardens,172,CONEY ISLAND I (SITE 8),238,TURNKEY,12/31/73,47,14,"11,970",0.83,
Surfside Gardens,170,CONEY ISLAND I (SITES 4 & 5),216,TURNKEY,7/31/74,46,17,"38,750",0.80,
Baisley Park,91,CONLON LIHFE TOWER,232,TURNKEY,3/31/73,47,13,"11,294",0.77,
Cooper Park,69,COOPER PARK,69,CONVENTIONAL,6/25/53,67,7,"86,767",0.84,
Jefferson,64,CORSI HOUSES,199,CONVENTIONAL,11/30/73,47,16,"20,446",0.40,
Park Rock Consolidation,351,CROWN HEIGHTS,312,TURNKEY,9/4/86,34,4,"31,650",0.40,YES
Cypress Hills,70,CYPRESS HILLS,70,CONVENTIONAL,5/25/55,65,7,"223,364",0.85,
Union Avenue Consolidated,342,DAVIDSON,190,CONVENTIONAL,8/31/73,47,8,"24,796",0.73,
Wise Towers,127,DE HOSTOS APARTMENTS,155,CONVENTIONAL,3/28/69,51,22,"10,319",0.67,
Douglass,82,DOUGLASS ADDITION,148,CONVENTIONAL,6/30/65,55,16,"8,884",0.66,
Douglass,82,DOUGLASS I,82,CONVENTIONAL,9/25/58,62,5-9-12-17-20,"94,508",0.83,
Douglass,82,DOUGLASS II,582,CONVENTIONAL,9/25/58,62,9-12-17-18-20,"44,044",0.86,
Drew Hamilton,111,DREW-HAMILTON,111,CONVENTIONAL,9/30/65,55,21,"74,433",0.72,
Dyckman,41,DYCKMAN,41,CONVENTIONAL,4/25/51,69,14,"80,457",0.86,
Forest,59,EAGLE AVENUE-EAST 163RD STREET,224,TURNKEY,5/31/71,49,6,"9,828",0.67,
Melrose,28,EAST 152ND STREET-COURTLANDT AVENUE,237,TURNKEY,8/31/73,47,11-14,"21,301",0.73,
Building Management Associates (BX 1),530,EAST 165TH STREET-BRYANT AVENUE,304,TURNKEY,10/31/87,33,3,"41,134",0.73,YES
Building Management Associates (BX 1),530,EAST 173RD STREET-VYSE AVENUE,338,TURNKEY,10/31/87,33,3,"59,524",0.68,YES
1010 EAST 178TH STREET,180,EAST 180TH STREET-MONTEREY AVENUE,208,CONVENTIONAL,9/30/73,47,10,"30,800",0.53,
Cypress Hills,70,EAST NEW YORK CITY LINE,263,TURNKEY,3/31/76,44,3,"26,943",0.70,YES
East River,9,EAST RIVER,9,CONVENTIONAL,5/20/41,79,6-10-11,"112,140",0.77,
Eastchester Gardens,34,EASTCHESTER GARDENS,34,CONVENTIONAL,6/1/50,70,7-8,"115,918",0.82,
Edenwald,57,EDENWALD,57,CONVENTIONAL,10/30/53,67,3-14,"344,433",0.87,
Chelsea,134,ELLIOTT,15,CONVENTIONAL,7/15/47,73,11-12,"45,023",0.71,
Farragut,29,FARRAGUT,29,CONVENTIONAL,5/7/52,68,14,"100,746",0.87,
Reid Apartments,167,FENIMORE-LEFFERTS,205,TURNKEY,9/30/69,51,2,"20,339",0.43,YES
Baisley Park,91,FHA REPOSSESSED HOUSES (GROUP I),209,CONVENTIONAL,10/31/69,51,1-2,,0.68,
Baisley Park,91,FHA REPOSSESSED HOUSES (GROUP II),212,CONVENTIONAL,9/30/70,50,1-2-3,,0.68,
Baisley Park,91,FHA REPOSSESSED HOUSES (GROUP III),213,CONVENTIONAL,4/30/71,49,1-2,,0.65,
Baisley Park,91,FHA REPOSSESSED HOUSES (GROUP IV),226,CONVENTIONAL,6/30/71,49,1-2-3,,0.70,
Baisley Park,91,FHA REPOSSESSED HOUSES (GROUP IX),283,CONVENTIONAL,1/31/83,37,1-1.5-2-2.5-3,,0.53,
Baisley Park,91,FHA REPOSSESSED HOUSES (GROUP V),260,CONVENTIONAL,9/30/72,48,1-2-3,,0.72,
Baisley Park,91,FHA REPOSSESSED HOUSES (GROUP VI),273,CONVENTIONAL,7/31/76,44,1-1.5-2-2.5,,0.65,
Baisley Park,91,FHA REPOSSESSED HOUSES (GROUP VII),274,CONVENTIONAL,7/31/76,44,1-1.5-2-2.5,,0.67,
Baisley Park,91,FHA REPOSSESSED HOUSES (GROUP VIII),275,CONVENTIONAL,7/31/76,44,1-1.5-2-2.5,,0.73,
Baisley Park,91,FHA REPOSSESSED HOUSES (GROUP X),284,CONVENTIONAL,1/31/83,37,1-1.5-2-2.5,,0.68,
Unity Plaza,261,FIORENTINO PLAZA,207,CONVENTIONAL,10/31/71,49,4,"42,189",0.60,
Lower East Side,337,FIRST HOUSES,1,CONVENTIONAL,5/31/36,84,4-5,"24,540",0.55,
Forest,59,FOREST,59,CONVENTIONAL,11/12/56,64,9-10-14,"125,002",0.84,
Fort Independence,197,FORT INDEPENDENCE STREET-HEATH AVENUE,197,TURNKEY,11/30/74,46,21,"25,162",0.83,
Fort Washington Ave Rehab,309,FORT WASHINGTON AVENUE REHAB,309,TURNKEY,10/1/85,35,7,"43,735",0.62,
Fulton,136,FULTON,136,CONVENTIONAL,3/31/65,55,6-25,"70,645",0.68,
Marcus Garvey,252,GARVEY (GROUP A),252,CONVENTIONAL,2/28/75,45,"2, 6-14","40,745",0.69,
Sotomayor,67,GLEBE AVENUE-WESTCHESTER AVENUE,225,TURNKEY,12/31/71,49,6,"18,734",0.66,
Seth Low Houses,169,GLENMORE PLAZA,171,CONVENTIONAL,4/30/68,52,10-18-24,"24,838",0.86,
Glenwood,44,GLENWOOD,44,CONVENTIONAL,7/14/50,70,6,"183,856",0.81,
Gompers,100,GOMPERS,100,CONVENTIONAL,4/30/64,56,20,"24,555",0.78,
Gowanus,25,GOWANUS,25,CONVENTIONAL,6/24/49,71,4-6-9-13-14,"105,659",0.79,
King Towers,30,GRAMPION,281,CONVENTIONAL,5/17/77,43,7,"5,000",0.44,
Grant,87,GRANT,87,CONVENTIONAL,10/31/57,63,13-21,"101,477",0.85,
O'Dwyer Gardens,172,GRAVESEND,68,CONVENTIONAL,6/28/54,66,7,"92,855",0.84,
Gun Hill,40,GUN HILL,40,CONVENTIONAL,11/30/50,70,14,"54,684",0.84,
Carey Gardens,166,HABER,142,CONVENTIONAL,6/30/65,55,14,"23,903",0.83,
Hammel,75,HAMMEL,75,CONVENTIONAL,4/20/55,65,7,"107,706",0.81,
Amsterdam,22,HARBORVIEW TERRACE,262,TURNKEY,6/30/77,43,14-15,"22,666",0.79,
Harlem River,3,HARLEM RIVER,3,CONVENTIONAL,10/1/37,83,4-5,"103,777",0.69,
Harlem River,3,HARLEM RIVER II,147,CONVENTIONAL,10/31/65,55,15,"7,281",0.75,
Kraus Management (BX 3),341,HARRISON AVENUE REHAB (GROUP A),347,TURNKEY,9/1/86,34,5,"6,698",0.30,YES
Kraus Management (BX 3),341,HARRISON AVENUE REHAB (GROUP B),547,TURNKEY,12/1/86,34,5-6,"29,954",0.39,YES
Gompers,100,HERNANDEZ,184,CONVENTIONAL,8/31/71,49,17,"13,167",0.75,
Highbridge Gardens,78,HIGHBRIDGE GARDENS,78,CONVENTIONAL,6/18/54,66,13-14,"55,678",0.90,
Building Management Associates (BX 1),530,HOE AVENUE-EAST 173RD STREET,215,TURNKEY,12/31/70,50,6,"9,242",0.60,YES
Isaacs,139,HOLMES TOWERS,159,CONVENTIONAL,4/30/69,51,25,"19,872",0.80,
Howard,72,HOWARD,72,CONVENTIONAL,12/30/55,65,7-13,"87,500",0.85,
Park Rock Consolidation,351,HOWARD AVENUE,339,TURNKEY,8/1/88,32,3,"50,568",0.64,YES
Park Rock Consolidation,351,HOWARD AVENUE-PARK PLACE,365,TURNKEY,8/31/94,26,3,"54,978",0.73,YES
Langston Hughes Apts,168,HUGHES APARTMENTS,168,CONVENTIONAL,6/30/68,52,22,"23,502",0.90,
Building Management Associates (BX 1),530,HUNTS POINT AVENUE REHAB,367,TURNKEY,11/30/91,29,4-5,"35,180",0.42,YES
Bushwick,86,HYLAN,109,CONVENTIONAL,6/30/60,60,19,"11,403",0.85,
Ingersoll,14,INGERSOLL,14,CONVENTIONAL,2/24/44,76,6-11,"175,748",0.81,
Baisley Park,91,INTERNATIONAL TOWER,316,TURNKEY,5/31/83,37,10,"12,689",0.71,
Isaacs,139,ISAACS,139,CONVENTIONAL,7/31/65,55,24,"32,645",0.78,
Morrisania Air Rights,267,JACKSON,120,CONVENTIONAL,7/31/63,57,16,"59,552",0.83,
Jefferson,64,JEFFERSON,64,CONVENTIONAL,8/28/59,61,7-13-14,"149,778",0.82,
Johnson,17,JOHNSON,17,CONVENTIONAL,12/27/48,72,14,"97,804",0.75,
King Towers,30,KING TOWERS,30,CONVENTIONAL,11/1/54,66,13-14,"98,822",0.84,
Kingsborough,10,KINGSBOROUGH,10,CONVENTIONAL,10/31/41,79,6,"129,189",0.83,
Kingsborough,10,KINGSBOROUGH EXTENSION,161,CONVENTIONAL,5/31/66,54,25,"7,110",0.90,
La Guardia,76,LA GUARDIA,76,CONVENTIONAL,8/8/57,63,16,"63,621",0.87,
La Guardia,76,LA GUARDIA ADDITION,152,CONVENTIONAL,8/31/65,55,16,"5,618",0.58,
Lafayette Gardens,122,LAFAYETTE,122,CONVENTIONAL,7/31/62,58,13-15-20,"58,504",0.83,
Latimer Gardens,186,LATIMER GARDENS,186,CONVENTIONAL,9/30/70,50,10,"40,077",0.75,
Latimer Gardens,186,LEAVITT STREET-34TH AVENUE,201,TURNKEY,10/31/74,46,6,"8,465",0.62,
Lehman Village,101,LEHMAN VILLAGE,101,CONVENTIONAL,11/30/63,57,20,"28,904",0.82,
Reid Apartments,167,LENOX ROAD-ROCKAWAY PARKWAY,348,TURNKEY,9/1/85,35,4,"18,791",0.29,YES
Washington,62,LEXINGTON,50,CONVENTIONAL,3/16/51,69,14,"35,222",0.76,
Lincoln,20,LINCOLN,20,CONVENTIONAL,12/29/48,72,6-14,"106,738",0.80,
